,PER,TS%,3PAr,FTr,ORB%,AST%,TOV%,PT,W/L
204,[-4.31480263],[-0.07651645],[0.14951974],[-0.02467434],[0.25789474],[-1.90328947],[2.73059211],12.0,1.0
205,[-1.08663102],[-0.01845455],[-0.02500267],[-0.07686898],[0.24385027],[1.5671123],[1.86604278],1.0,1.0
206,[-2.03438735],[-0.03614822],[-0.0357253],[-0.15190909],[1.03972332],[-1.54644269],[-2.16996047],24.0,1.0
207,[0.41764706],[-0.00347059],[-0.03217647],[-0.03029412],[-1.25294118],[1.81764706],[2.21764706],20.0,1.0
208,[1.39335038],[0.04908696],[-0.02371867],[-0.04435038],[0.24705882],[1.07340153],[0.82506394],-16.0,0.0
209,[-2.54347826],[-0.06173913],[0.02172123],[-0.03270588],[0.39079284],[0.08056266],[-1.09616368],-15.0,0.0
210,[1.88928571],[0.0216369],[-0.18457143],[0.00516667],[0.66011905],[3.88988095],[-0.93690476],-15.0,0.0
211,[1.2826087],[0.00968879],[-0.04186041],[-0.01350114],[-1.1993135],[-0.84439359],[-1.96956522],-19.0,0.0
212,[2.2452381],[0.05410317],[0.02025397],[0.05436508],[-0.83571429],[0.20079365],[1.50714286],2.0,1.0
213,[-5.86369048],[-0.0263869],[-0.02507738],[0.16128571],[0.70178571],[1.42797619],[0.7077381],-13.0,0.0
214,[2.17291667],[0.04587917],[0.0238],[-0.04988333],[0.49458333],[-5.24541667],[-0.58583333],3.0,1.0
215,[0.74085213],[0.0292782],[0.05046617],[-0.00897494],[0.85313283],[-1.839599],[-1.89649123],7.0,1.0
216,[-3.00284091],[-0.05952841],[0.05530682],[0.11397159],[0.18636364],[2.08068182],[5.50284091],-11.0,0.0
217,[-0.73545455],[0.03489545],[-0.11004091],[-0.02824545],[0.25090909],[0.83681818],[2.21545455],10.0,1.0
218,[-0.68333333],[-0.04638889],[-0.00401307],[-0.0159281],[0.64803922],[-2.34673203],[-1.95196078],4.0,1.0
219,[-3.54107143],[-0.04675595],[0.04994048],[-0.03485119],[-0.60595238],[1.6547619],[2.07202381],-5.0,0.0
220,[5.22529762],[0.07338393],[0.02090476],[-0.00408333],[1.46696429],[-4.00446429],[-1.98392857],12.0,1.0
221,[2.3826087],[0.02288735],[-0.02568577],[0.04149407],[-0.93280632],[-0.73003953],[-2.97865613],22.0,1.0
222,[-3.29335038],[-0.04173402],[0.07442455],[0.0566445],[0.44705882],[-3.52046036],[-1.37800512],-7.0,0.0
223,[2.05281385],[0.04626623],[-0.04374675],[0.129671],[0.78160173],[2.14437229],[0.87575758],5.0,1.0
224,[-1.92105263],[-0.03998804],[0.08366746],[-0.09010048],[0.21244019],[-0.52488038],[-0.65406699],-11.0,0.0
225,[-1.76041667],[-0.05600417],[-0.026175],[0.03919583],[1.78666667],[1.73916667],[3.76708333],3.0,1.0
226,[0.19583333],[0.03109722],[0.07198611],[0.22588889],[-0.4625],[0.97638889],[2.02916667],25.0,1.0
227,[1.43636364],[0.00486364],[0.02127273],[0.15095455],[-0.80454545],[2.53636364],[-0.08636364],-24.0,0.0
228,[1.97916667],[0.03904167],[-0.06618137],[-0.00358578],[0.79362745],[0.49117647],[-1.62720588],4.0,1.0
229,[5.03722826],[0.09567663],[-0.01958152],[0.0379375],[-1.22608696],[-0.53423913],[-3.33288043],18.0,1.0
230,[0.49799499],[0.00699248],[0.1727995],[-0.01807018],[-0.55639098],[-2.40150376],[-2.43458647],-29.0,0.0
231,[0.14117647],[0.00378947],[0.00935913],[0.02945511],[0.96811146],[-0.53003096],[-0.67058824],-13.0,0.0
232,[3.01594203],[0.00341159],[-0.11771304],[0.01526377],[0.8084058],[2.38753623],[-2.59623188],-5.0,0.0
233,[-0.48284314],[-0.01010539],[-0.01103922],[-0.03907108],[1.77205882],[0.16740196],[0.64681373],-9.0,0.0
234,[2.37727273],[0.00559091],[-0.05345455],[0.103],[-0.36363636],[-0.49090909],[-3.49545455],7.0,1.0
235,[-1.0726087],[0.03987174],[-0.05253696],[0.03266957],[0.23826087],[0.64413043],[2.98956522],-11.0,0.0
236,[3.81428571],[0.00338095],[0.07680952],[0.0102381],[-0.32857143],[-0.65238095],[-0.18571429],19.0,1.0
237,[-3.39375],[-0.03910417],[0.06820833],[0.21541667],[-1.26041667],[2.58958333],[1.325],12.0,1.0
238,[1.87857143],[0.02546825],[-0.10520635],[-0.00546032],[2.07857143],[-1.82936508],[-2.15],1.0,1.0
239,[0.48284314],[0.01010539],[0.01103922],[0.03907108],[-1.77205882],[-0.16740196],[-0.64681373],16.0,1.0
240,[2.44458204],[0.02669659],[-0.10901238],[0.08256037],[1.04798762],[0.50990712],[-0.67213622],-5.0,0.0
241,[3.35257353],[0.0459375],[-0.05903676],[-0.03988603],[-0.74705882],[2.02279412],[-3.72316176],-4.0,0.0
242,[1.],[0.01578947],[-0.05181734],[-0.01566254],[1.05634675],[1.94643963],[0.03529412],21.0,1.0
243,[-7.91966874],[-0.07283437],[-0.07132919],[-0.08138095],[0.90703934],[2.87888199],[-0.46563147],-6.0,0.0
244,[-2.67878788],[-0.00838788],[0.06020909],[-0.07617879],[-0.79575758],[-2.19484848],[1.82212121],-18.0,0.0
245,[0.70090909],[0.03975909],[-0.08876818],[0.12270909],[-0.55363636],[3.37318182],[2.12909091],-5.0,0.0
246,[0.45833333],[-0.02686742],[-0.06856061],[-0.0769053],[1.77954545],[1.97007576],[1.53825758],-5.0,0.0
247,[3.81407867],[0.06880124],[-0.06865424],[-0.05103106],[0.14761905],[1.40393375],[1.08612836],-26.0,0.0
248,[-0.19583333],[-0.03109722],[-0.07198611],[-0.22588889],[0.4625],[-0.97638889],[-2.02916667],-5.0,0.0
249,[0.33715415],[-0.00497628],[-0.05750395],[-0.06091502],[0.01264822],[0.19268775],[-0.77411067],-5.0,0.0
250,[-5.44972826],[-0.08555163],[0.02195652],[-0.02725],[-1.05516304],[4.04048913],[0.15163043],7.0,1.0
251,[-2.22916667],[-0.03216667],[0.09725],[-0.010125],[0.1125],[-3.35416667],[0.04583333],23.0,1.0
252,[1.82105263],[0.04257895],[-0.15165944],[0.01944272],[0.57739938],[2.35696594],[1.69845201],28.0,1.0
253,[-0.93184524],[-0.02622321],[0.01410119],[0.03320536],[0.64761905],[-1.6922619],[3.98422619],-6.0,0.0
254,[1.31904762],[0.03378195],[0.07295739],[0.01703509],[-1.03533835],[-1.99097744],[-0.77142857],5.0,1.0
255,[1.9],[-0.00735294],[-0.05070588],[-0.01229412],[-0.69411765],[2.44705882],[0.55294118],-3.0,0.0
256,[0.7225],[0.05005833],[-0.07824167],[0.21346667],[0.28083333],[0.37583333],[1.1325],-11.0,0.0
257,[2.66190476],[0.06926623],[-0.0332013],[0.08112554],[0.64069264],[-1.31471861],[-1.24242424],22.0,1.0
258,[-1.62352941],[9.2879257e-05],[0.00917028],[-0.04745511],[-1.52693498],[-0.0993808],[2.33529412],-10.0,0.0
259,[1.93541667],[0.06339583],[0.00270833],[0.01147917],[-1.825],[-0.59166667],[-4.92291667],-3.0,0.0
260,[2.54347826],[0.06173913],[-0.02172123],[0.03270588],[-0.39079284],[-0.08056266],[1.09616368],10.0,1.0
261,[1.77351779],[-0.00011265],[-0.03623123],[0.09003953],[-0.79189723],[2.72905138],[-0.86047431],14.0,1.0
262,[-2.98663102],[-0.0111016],[0.02570321],[-0.06457487],[0.93796791],[-0.87994652],[1.3131016],-3.0,0.0
263,[-4.64285714],[-0.0331619],[-0.11708571],[-0.00424762],[1.46761905],[4.08380952],[-0.03142857],-47.0,0.0
264,[6.23501401],[0.02309524],[0.03187395],[0.00355742],[-0.4280112],[-0.32184874],[0.07535014],-6.0,0.0
265,[-2.17291667],[-0.04587917],[-0.0238],[0.04988333],[-0.49458333],[5.24541667],[0.58583333],14.0,1.0
266,[-1.04217391],[0.00426304],[-0.06131957],[0.09297391],[-0.24],[-1.80369565],[-0.47565217],-7.0,0.0
267,[-0.62352941],[0.01588235],[-0.04264706],[-0.06311765],[-0.47058824],[1.84705882],[2.37058824],14.0,1.0
268,[-0.78333333],[-0.04379798],[-0.07200505],[-0.08658586],[1.43787879],[-0.51464646],[-0.90757576],-6.0,0.0
269,[0.93184524],[0.02622321],[-0.01410119],[-0.03320536],[-0.64761905],[1.6922619],[-3.98422619],6.0,1.0
270,[-1.45795455],[-0.01516288],[-0.03179924],[-0.24171212],[-0.02992424],[0.46098485],[1.08295455],-4.0,0.0
271,[2.87738095],[0.0201131],[0.02057143],[-0.004875],[1.01071429],[0.09345238],[-0.2422619],-11.0,0.0
272,[-1.27727273],[0.00760766],[0.06962919],[-0.04800478],[0.63014354],[0.60526316],[2.48636364],-4.0,0.0
273,[-2.8622291],[-0.02322601],[0.14118885],[-0.05226625],[0.20495356],[-2.32755418],[-1.54551084],-12.0,0.0
274,[0.30344203],[-0.01356341],[-0.02749638],[-0.0255779],[-0.9365942],[0.61086957],[-0.30706522],3.0,1.0
275,[1.24242424],[0.00352424],[-0.08148182],[-0.07477576],[1.60030303],[-0.34151515],[-1.73575758],10.0,1.0
276,[-9.58452381],[-0.08230357],[0.07038095],[-0.05521429],[-0.16488095],[-1.04702381],[2.30357143],11.0,1.0
277,[-3.18543417],[-0.05597479],[0.05854622],[-0.07358543],[-1.90112045],[1.32969188],[2.56862745],8.0,1.0
278,[1.94545455],[0.03045455],[-0.0361738],[0.03175134],[-0.15561497],[0.90935829],[-1.16016043],4.0,1.0
279,[-1.76467391],[-0.04579529],[0.0169221],[-0.12049275],[-0.52083333],[-2.17952899],[-1.60815217],-7.0,0.0
280,[1.86014493],[0.01535024],[-0.0257343],[0.01677778],[0.25724638],[-2.42729469],[-0.8557971],7.0,1.0
281,[-2.25117647],[-0.04599706],[0.13574412],[-0.03632941],[0.68705882],[-1.71676471],[-0.90235294],-3.0,0.0
282,[1.27727273],[-0.00760766],[-0.06962919],[0.04800478],[-0.63014354],[-0.60526316],[-2.48636364],-7.0,0.0
283,[0.24285714],[0.02228571],[-0.12233333],[0.00909524],[1.40952381],[0.56190476],[0.53809524],-2.0,0.0
284,[-2.60269608],[-0.02315931],[0.02353431],[-0.05953186],[-1.26421569],[1.35588235],[3.99779412],11.0,1.0
285,[-2.3826087],[-0.02288735],[0.02568577],[-0.04149407],[0.93280632],[0.73003953],[2.97865613],-7.0,0.0
286,[-0.82857143],[-0.02978095],[-0.04027619],[0.00599048],[1.13904762],[3.43142857],[-0.21714286],-1.0,0.0
287,[-1.41715686],[0.01745833],[0.0617451],[0.0513652],[-1.07794118],[-2.61446078],[-1.1997549],1.0,1.0
288,[5.86369048],[0.0263869],[0.02507738],[-0.16128571],[-0.70178571],[-1.42797619],[-0.7077381],-17.0,0.0
289,[1.55026738],[0.00623797],[-0.04697594],[-0.08637968],[-0.13342246],[-1.65641711],[-1.22673797],3.0,1.0
290,[-7.11458333],[-0.09502083],[0.16366667],[-0.00108333],[-2.12708333],[0.11458333],[2.92083333],7.0,1.0
291,[0.73545455],[-0.03489545],[0.11004091],[0.02824545],[-0.25090909],[-0.83681818],[-2.21545455],10.0,1.0
292,[-4.74592391],[-0.09502446],[0.08275543],[0.08423641],[0.5],[-3.09619565],[2.89809783],-5.0,0.0
293,[0.26086957],[0.03626087],[0.07195652],[0.06186957],[-0.24782609],[-1.1826087],[3.03043478],-7.0,0.0
294,[0.04177489],[0.04138961],[0.14258658],[-0.0309697],[-0.40519481],[-1.38571429],[1.71493506],-4.0,0.0
295,[1.35190476],[0.00650714],[0.04502143],[0.0069619],[1.3352381],[-1.22880952],[-1.25333333],-23.0,0.0
296,[2.90625],[0.0238125],[-0.00023529],[-0.00545588],[1.44595588],[-3.95992647],[-1.24779412],-7.0,0.0
297,[1.66485507],[0.0094692],[-0.14171014],[-0.02616667],[1.07192029],[3.9259058],[-2.7692029],-7.0,0.0
298,[-2.37938596],[-0.01312061],[0.15222807],[-0.01319518],[-1.56710526],[-2.49495614],[-2.19232456],25.0,1.0
299,[1.48235294],[-0.00388235],[-0.01852941],[0.018],[0.55882353],[0.62941176],[-1.66470588],13.0,1.0
300,[-2.37727273],[-0.00559091],[0.05345455],[-0.103],[0.36363636],[0.49090909],[3.49545455],-9.0,0.0
301,[3.29335038],[0.04173402],[-0.07442455],[-0.0566445],[-0.44705882],[3.52046036],[1.37800512],-6.0,0.0
302,[-4.7763587],[-0.05941576],[0.09153804],[0.02393207],[0.97826087],[-0.64836957],[6.36331522],6.0,1.0
303,[0.33988095],[0.01052976],[0.08732143],[0.00495833],[-0.77261905],[-0.53571429],[0.89107143],-4.0,0.0
304,[0.17424242],[0.02079798],[0.0614596],[0.13513131],[-1.2969697],[3.97373737],[3.02575758],-7.0,0.0
305,[7.93809524],[0.08295238],[-0.00814286],[0.05914286],[0.91428571],[-2.28095238],[-0.82857143],-3.0,0.0
306,[4.83186275],[0.05532598],[-0.12078431],[0.06965686],[1.15171569],[1.99828431],[-4.04362745],-12.0,0.0
307,[4.72730263],[0.06639145],[-0.15189474],[0.01398684],[2.02335526],[-1.60296053],[0.45065789],7.0,1.0
308,[2.05597826],[0.04644746],[0.04625181],[0.24266667],[-0.20525362],[-1.4509058],[1.17336957],-7.0,0.0
309,[2.56190476],[0.02350376],[-0.03557644],[0.02277444],[0.86867168],[-0.19949875],[-0.40952381],11.0,1.0
310,[-0.175],[-0.00739167],[0.02346667],[-0.050675],[0.03833333],[-1.1475],[1.15583333],-6.0,0.0
311,[0.33181818],[-0.02227273],[-0.08527273],[0.00059091],[0.58181818],[0.43181818],[-1.29090909],14.0,1.0
312,[-2.07916667],[-0.03645076],[-0.00181061],[-0.06707197],[-0.00378788],[1.34090909],[2.67159091],-9.0,0.0
313,[-2.25217391],[-0.06108696],[0.08489514],[0.08946803],[-0.33529412],[-3.54987212],[-1.53094629],-15.0,0.0
314,[-3.17708333],[-0.08032639],[-0.00615278],[-0.02115972],[1.48333333],[-1.89305556],[2.47708333],-23.0,0.0
315,[6.58619048],[0.07644524],[-0.05316429],[0.05218095],[-0.42095238],[-1.05214286],[0.4247619],12.0,1.0
316,[-2.44458204],[-0.02669659],[0.10901238],[-0.08256037],[-1.04798762],[-0.50990712],[0.67213622],6.0,1.0
317,[5.2495098],[0.05185539],[-0.15296078],[0.03936275],[-0.10122549],[3.81593137],[-1.82598039],-15.0,0.0
318,[-2.83560606],[0.02127652],[0.12201515],[-0.0260947],[-1.41590909],[-1.47916667],[1.95719697],-2.0,0.0
319,[-2.07440476],[-0.05656548],[0.03322024],[-0.22042857],[-1.61607143],[0.85297619],[0.12083333],6.0,1.0
320,[3.90625],[0.03960197],[-0.05205263],[-0.02111842],[2.50230263],[-2.01348684],[-1.2125],7.0,1.0
321,[1.42378517],[0.01347826],[-0.03250128],[0.01595396],[-0.23120205],[-1.37442455],[-2.64015345],2.0,1.0
322,[0.82857143],[0.02978095],[0.04027619],[-0.00599048],[-1.13904762],[-3.43142857],[0.21714286],-9.0,0.0
323,[2.28272059],[0.03969485],[-0.04288235],[-0.06857353],[0.97536765],[-2.11286765],[1.12279412],2.0,1.0
324,[5.27619048],[0.01368615],[0.02505844],[-0.02198268],[0.27359307],[-0.96623377],[0.41385281],-9.0,0.0
325,[3.72083333],[0.05591667],[-0.09545833],[0.2165],[0.86666667],[2.475],[-1.59583333],-4.0,0.0
326,[-1.76833333],[-0.03589167],[0.14678333],[0.00274167],[-1.085],[-1.88416667],[-1.54916667],9.0,1.0
327,[3.38295739],[0.05029323],[-0.13541855],[0.0578797],[0.38972431],[0.21102757],[1.25363409],-5.0,0.0
328,[-3.00284091],[-0.05952841],[0.05530682],[0.11397159],[0.18636364],[2.08068182],[5.50284091],2.0,1.0
329,[1.46022409],[0.03757143],[0.08231653],[0.0464902],[-0.06722689],[-2.5210084],[-1.44201681],-15.0,0.0
330,[-3.29335038],[-0.04173402],[0.07442455],[0.0566445],[0.44705882],[-3.52046036],[-1.37800512],-2.0,0.0
331,[0.94545455],[0.01466507],[0.01564354],[0.04741388],[-1.21196172],[-1.03708134],[-1.19545455],-4.0,0.0
332,[-0.63333333],[0.01947576],[0.09202727],[0.0262303],[-1.74121212],[-3.11757576],[-0.38242424],7.0,1.0
333,[0.4562201],[-0.03439713],[0.03021292],[0.01289952],[-0.15119617],[-1.01578947],[-4.14952153],-6.0,0.0
334,[0.27929607],[0.04637888],[-0.00751553],[0.03963147],[1.57349896],[-0.58467909],[1.73623188],-2.0,0.0
335,[-2.94257703],[-0.03368908],[-0.06378711],[-0.0644902],[-0.49159664],[1.89159664],[3.10672269],-18.0,0.0
336,[1.743083],[0.03549605],[-0.02744862],[0.02973518],[-0.31363636],[5.17687747],[2.60474308],6.0,1.0
337,[9.58452381],[0.08230357],[-0.07038095],[0.05521429],[0.16488095],[1.04702381],[-2.30357143],-21.0,0.0
338,[1.97916667],[0.03904167],[-0.06618137],[-0.00358578],[0.79362745],[0.49117647],[-1.62720588],2.0,1.0
339,[0.4125],[-0.010125],[-0.002375],[-0.0106875],[2.28125],[-3.50625],[3.18125],-1.0,0.0
340,[0.52072829],[0.02706723],[0.00577031],[0.00561345],[0.59467787],[-2.11652661],[-0.29187675],-18.0,0.0
341,[0.5875],[0.01270076],[1.89393939e-05],[-0.13930303],[-0.97537879],[-0.46174242],[-1.12159091],-3.0,0.0
342,[1.59927536],[-0.02091063],[-0.09769082],[-0.04509179],[0.50507246],[-1.24468599],[-3.88623188],6.0,1.0
343,[-3.27681159],[-0.03967246],[0.04575652],[-0.07713333],[-0.56057971],[-1.20492754],[-0.4342029],-10.0,0.0
344,[-0.61105263],[0.02277105],[0.00544474],[-0.01593684],[-0.48210526],[-0.61078947],[-0.64315789],1.0,1.0
345,[1.56190476],[0.05606767],[-0.04937594],[0.02613033],[0.37418546],[-1.42907268],[-0.23333333],-18.0,0.0
346,[0.30671937],[0.03063241],[-0.04872134],[-0.12121937],[0.49090909],[2.64051383],[2.69110672],-17.0,0.0
347,[0.55833333],[-0.02945833],[-0.00056863],[-0.00624755],[0.98970588],[0.1379902],[0.49387255],-13.0,0.0
348,[2.22916667],[0.03216667],[-0.09725],[0.010125],[-0.1125],[3.35416667],[-0.04583333],6.0,1.0
349,[-2.07099567],[-0.03330519],[0.04120563],[0.08076623],[-0.46125541],[3.77294372],[1.51861472],-13.0,0.0
350,[6.23501401],[0.02309524],[0.03187395],[0.00355742],[-0.4280112],[-0.32184874],[0.07535014],-28.0,0.0
351,[-1.86507353],[-0.04316544],[0.01070588],[0.03827941],[-2.22830882],[3.93051471],[1.09485294],2.0,1.0
352,[-2.66190476],[-0.06926623],[0.0332013],[-0.08112554],[-0.64069264],[1.31471861],[1.24242424],-3.0,0.0
353,[1.10904762],[-0.01577857],[0.16735476],[-0.00213333],[-0.07428571],[-1.79071429],[-1.79142857],-9.0,0.0
354,[1.06742424],[-0.00386742],[-0.05801515],[-0.12545076],[1.63863636],[-1.48901515],[-0.57992424],-2.0,0.0
355,[-4.33501401],[-0.03044818],[-0.08257983],[-0.01585154],[-0.26610644],[2.76890756],[0.47759104],-11.0,0.0
356,[-0.37359307],[-0.01911688],[-0.05731385],[0.03037879],[-0.17662338],[0.9538961],[-0.42402597],-3.0,0.0
357,[-1.97916667],[-0.03904167],[0.06618137],[0.00358578],[-0.79362745],[-0.49117647],[1.62720588],-7.0,0.0
358,[5.7702381],[0.07892262],[-0.14719048],[0.04497619],[0.49345238],[1.69940476],[-2.11785714],10.0,1.0
359,[-0.43112128],[-0.01850801],[-0.0667643],[0.10891076],[0.24210526],[-1.19290618],[0.16750572],-12.0,0.0
360,[1.11102941],[-0.00059069],[-0.02532598],[-0.14684314],[0.28504902],[-0.47671569],[-2.44779412],-5.0,0.0
361,[-1.4184492],[0.00381818],[0.06027005],[-0.07745989],[-0.33796791],[1.13529412],[3.15695187],-3.0,0.0
362,[-1.54347826],[-0.04594966],[-0.03009611],[-0.04836842],[1.44713959],[2.02700229],[-1.06086957],14.0,1.0
363,[0.02509881],[-0.05290514],[-0.03655138],[0.12181028],[0.09090909],[-2.20869565],[-3.98201581],-5.0,0.0
364,[-1.35190476],[-0.00650714],[-0.04502143],[-0.0069619],[-1.3352381],[1.22880952],[1.25333333],-25.0,0.0
365,[-1.11102941],[0.00059069],[0.02532598],[0.14684314],[-0.28504902],[0.47671569],[2.44779412],-5.0,0.0
366,[4.88541667],[0.06285417],[-0.06641667],[-0.00904167],[2.23958333],[-3.46875],[-2.875],3.0,1.0
367,[1.00357143],[0.03717262],[0.01680952],[0.04468452],[-1.17738095],[-2.28392857],[-0.93869048],-3.0,0.0
368,[-0.72242563],[-0.01916018],[-0.12993822],[-0.01326316],[0.96819222],[2.4375286],[0.60228833],15.0,1.0
369,[3.00284091],[0.05952841],[-0.05530682],[-0.11397159],[-0.18636364],[-2.08068182],[-5.50284091],9.0,1.0
370,[1.7245098],[0.02703595],[0.01448366],[0.04875163],[-1.43039216],[2.31732026],[1.79901961],9.0,1.0
371,[-6.23501401],[-0.02309524],[-0.03187395],[-0.00355742],[0.4280112],[0.32184874],[-0.07535014],14.0,1.0
372,[-1.73333333],[0.00627719],[0.07585263],[-0.02876491],[-2.0077193],[-3.23192982],[0.62666667],-27.0,0.0
373,[1.94333333],[0.04328333],[-0.17025],[0.04793333],[1.04666667],[3.03166667],[0.39333333],8.0,1.0
374,[0.1],[-0.00259091],[0.06799198],[0.07065775],[-0.78983957],[-1.83208556],[-1.04438503],-7.0,0.0
375,[4.47291667],[0.07297917],[-0.06404167],[0.00164583],[-0.04166667],[0.0375],[-6.05625],17.0,1.0
376,[0.03643892],[0.02409317],[0.11481781],[0.03053623],[0.16397516],[-1.14658385],[1.19813665],7.0,1.0
377,[-3.3495098],[-0.05920833],[0.1022549],[-0.05165686],[-0.59289216],[-1.36887255],[2.37892157],-5.0,0.0
378,[-2.2452381],[-0.05410317],[-0.02025397],[-0.05436508],[0.83571429],[-0.20079365],[-1.50714286],-27.0,0.0
379,[0.82105263],[0.02678947],[-0.09984211],[0.03510526],[-0.47894737],[0.41052632],[1.66315789],-18.0,0.0
380,[-2.07440476],[-0.05656548],[0.03322024],[-0.22042857],[-1.61607143],[0.85297619],[0.12083333],9.0,1.0
381,[1.06742424],[-0.00386742],[-0.05801515],[-0.12545076],[1.63863636],[-1.48901515],[-0.57992424],-2.0,0.0
382,[3.01060606],[-0.01388485],[-0.14548182],[0.0767697],[1.37757576],[2.62666667],[-3.1130303],-14.0,0.0
383,[0.24285714],[0.02228571],[-0.12233333],[0.00909524],[1.40952381],[0.56190476],[0.53809524],-5.0,0.0
384,[-1.83352941],[-0.04946765],[0.10356765],[-0.06662353],[-0.56588235],[0.10088235],[1.31529412],11.0,1.0
385,[5.37619048],[0.01109524],[0.09305042],[0.04867507],[-0.5162465],[-2.79831933],[-0.63053221],-25.0,0.0
386,[2.5375],[0.00958333],[-0.06675],[-0.00983333],[1.78333333],[0.62916667],[-1.13333333],10.0,1.0
387,[0.78333333],[0.04379798],[0.07200505],[0.08658586],[-1.43787879],[0.51464646],[0.90757576],-14.0,0.0
388,[-2.99833333],[-0.00585833],[0.01721667],[-0.00303333],[-0.58583333],[-2.09916667],[2.72833333],-1.0,0.0
389,[2.98125],[0.04922917],[-0.06583333],[-0.20472917],[-1.02083333],[0.91666667],[-4.50625],-6.0,0.0
390,[-0.94545455],[-0.01466507],[-0.01564354],[-0.04741388],[1.21196172],[1.03708134],[1.19545455],-13.0,0.0
391,[-5.1888587],[-0.04929076],[0.09391304],[0.03461957],[-1.30298913],[2.85788043],[3.18206522],-4.0,0.0
392,[-3.36022409],[-0.03021849],[-0.03161064],[-0.03419608],[0.76134454],[0.07394958],[0.88907563],-12.0,0.0
393,[0.62352941],[-0.01588235],[0.04264706],[0.06311765],[0.47058824],[-1.84705882],[-2.37058824],11.0,1.0
394,[3.54107143],[0.04675595],[-0.04994048],[0.03485119],[0.60595238],[-1.6547619],[-2.07202381],15.0,1.0
395,[0.29130435],[0.00065217],[0.06317391],[0.12217391],[-0.72608696],[-3.63043478],[-0.43478261],8.0,1.0
396,[0.37132353],[-0.00329167],[0.00679657],[0.16484314],[0.27377451],[1.10612745],[0.78308824],2.0,1.0
397,[0.17424242],[0.02079798],[0.0614596],[0.13513131],[-1.2969697],[3.97373737],[3.02575758],10.0,1.0
398,[-4.94166667],[-0.04914167],[0.18746667],[-0.05096667],[-1.6325],[-5.13083333],[2.335],-18.0,0.0
399,[5.18352273],[0.03199432],[-0.12168182],[0.02688636],[1.87215909],[-2.61875],[-3.69886364],-15.0,0.0
400,[2.98663102],[0.0111016],[-0.02570321],[0.06457487],[-0.93796791],[0.87994652],[-1.3131016],-14.0,0.0
401,[0.55833333],[-0.02945833],[-0.00056863],[-0.00624755],[0.98970588],[0.1379902],[0.49387255],-13.0,0.0
402,[0.22443064],[0.0121677],[-0.04286128],[0.03133333],[-0.41180124],[-0.03602484],[1.83229814],2.0,1.0
403,[-0.82105263],[-0.02678947],[0.09984211],[-0.03510526],[0.47894737],[-0.41052632],[-1.66315789],6.0,1.0
404,[-5.27619048],[-0.01368615],[-0.02505844],[0.02198268],[-0.27359307],[0.96623377],[-0.41385281],-3.0,0.0
405,[2.22916667],[0.03216667],[-0.09725],[0.010125],[-0.1125],[3.35416667],[-0.04583333],-6.0,0.0
406,[-0.93837535],[-0.02359664],[0.02640616],[0.02468067],[0.65826331],[0.29887955],[-1.92577031],-8.0,0.0
407,[-1.39335038],[-0.04908696],[0.02371867],[0.04435038],[-0.24705882],[-1.07340153],[-0.82506394],3.0,1.0
408,[-1.77351779],[0.00011265],[0.03623123],[-0.09003953],[0.79189723],[-2.72905138],[0.86047431],13.0,1.0
409,[1.24166667],[0.01693056],[0.00344444],[0.00968056],[0.34166667],[2.48472222],[2.44583333],18.0,1.0
410,[-3.2952381],[-0.04979048],[0.12522857],[-0.05489524],[-2.38190476],[-1.80285714],[0.86],-4.0,0.0
411,[5.46815476],[0.09566964],[-0.10142857],[0.0050119],[2.8764881],[-3.44255952],[-1.44583333],4.0,1.0
412,[-4.47291667],[-0.07297917],[0.06404167],[-0.00164583],[0.04166667],[-0.0375],[6.05625],-18.0,0.0
413,[2.80625],[0.02640341],[-0.06822727],[-0.07611364],[2.23579545],[-2.12784091],[-0.20340909],-17.0,0.0
414,[-1.00357143],[-0.03717262],[-0.01680952],[-0.04468452],[1.17738095],[2.28392857],[0.93869048],-8.0,0.0
415,[3.36022409],[0.03021849],[0.03161064],[0.03419608],[-0.76134454],[-0.07394958],[-0.88907563],9.0,1.0
416,[-1.76818182],[0.01740909],[0.064],[-0.15154545],[0.22272727],[-2.96818182],[1.37727273],-1.0,0.0
417,[1.30686275],[0.03050654],[0.04666013],[0.07904575],[-0.17745098],[0.4996732],[-0.41862745],20.0,1.0
418,[1.31],[0.06275909],[-0.07822273],[0.07416364],[-0.69454545],[-0.08590909],[0.01090909],-14.0,0.0
419,[2.25217391],[0.06108696],[-0.08489514],[-0.08946803],[0.33529412],[3.54987212],[1.53094629],3.0,1.0
420,[1.12034314],[0.02704167],[-0.0050049],[0.04153186],[0.70539216],[-1.98529412],[-2.33308824],37.0,1.0
421,[-0.12440191],[0.0121244],[-0.11548565],[-0.01230861],[0.73301435],[1.44760766],[2.85861244],-7.0,0.0
422,[-3.20833333],[-0.05541886],[0.11161404],[-0.02220175],[0.3752193],[-1.89890351],[1.70833333],18.0,1.0
423,[3.32378517],[0.00612532],[-0.08320716],[0.00365985],[-0.92531969],[1.07263427],[-2.08721228],-6.0,0.0
424,[-7.91966874],[-0.07283437],[-0.07132919],[-0.08138095],[0.90703934],[2.87888199],[-0.46563147],10.0,1.0
425,[-3.05238095],[-0.02750476],[0.00289524],[-0.0458],[-0.97238095],[-1.24095238],[1.39809524],-18.0,0.0
