,PER,TS%,3PAr,FTr,ORB%,AST%,TOV%,PT,W/L
147,[0.35690789],[0.01195724],[-0.01509868],[0.01874342],[0.04276316],[0.35263158],[0.94967105],5.0,1.0
148,[0.64555556],[-0.00894444],[-0.08877778],[0.0156],[0.47444444],[0.92222222],[1.03111111],-17.0,0.0
149,[-1.63684211],[-0.04093333],[0.05498596],[-0.04017193],[-1.38912281],[-0.51122807],[-0.53614035],-23.0,0.0
150,[1.00297619],[0.03165476],[0.06904464],[0.0509375],[0.26488095],[0.96994048],[0.11904762],-24.0,0.0
151,[-2.44222222],[-0.0612],[0.05532222],[-0.06393333],[-0.49444444],[-0.36888889],[-1.83222222],8.0,1.0
152,[-0.19254902],[-0.00162745],[-0.11355686],[-0.01498431],[0.93607843],[-0.60862745],[4.53960784],16.0,1.0
153,[-1.77605263],[-0.02020789],[0.08016053],[0.0521],[-1.43710526],[-0.21078947],[0.51657895],-4.0,0.0
154,[0.63894737],[-0.01929123],[0.02961053],[-0.09206667],[-0.16877193],[-0.30912281],[-1.16842105],-23.0,0.0
155,[1.18137255],[0.02755392],[-0.02910049],[0.04831618],[-0.09485294],[-1.57303922],[-0.59019608],16.0,1.0
156,[-0.58958333],[-0.00674306],[0.08473611],[0.05511111],[0.65277778],[-2.66944444],[-0.27152778],20.0,1.0
157,[0.48263889],[0.03511806],[0.04754167],[-0.003625],[-0.83472222],[1.03888889],[1.04236111],9.0,1.0
158,[0.70538462],[-0.02083333],[-0.04170513],[-0.03854103],[1.88512821],[1.00641026],[2.35333333],-12.0,0.0
159,[0.11954887],[0.01819549],[0.04841604],[0.07411028],[-0.6877193],[1.87994987],[2.79649123],-19.0,0.0
160,[-0.15684211],[-0.01890526],[-0.01114035],[0.04136842],[0.29192982],[-2.51403509],[-1.93824561],6.0,1.0
161,[1.72666667],[0.06546667],[0.06633333],[0.11793333],[0.32],[1.36666667],[0.31333333],2.0,1.0
162,[1.59222222],[-7.77777778e-05],[-0.10237778],[0.01826667],[0.02777778],[0.26888889],[-0.39555556],-9.0,0.0
163,[-1.43555556],[-0.03986667],[0.04972222],[-0.062],[-0.18111111],[0.27777778],[-0.49888889],-7.0,0.0
164,[0.22279412],[-0.00622059],[-0.05312868],[-0.06487868],[0.66985294],[-0.52904412],[1.02352941],-22.0,0.0
165,[3.43095975],[0.07970588],[-0.14287616],[0.10398762],[2.84520124],[2.22260062],[4.14241486],3.0,1.0
166,[-0.41356275],[-0.04834211],[-0.10524899],[-0.00480769],[1.8805668],[1.1888664],[-0.13157895],-5.0,0.0
167,[0.54122807],[0.0099693],[-0.00985307],[-0.01253289],[0.27565789],[2.01885965],[-0.89649123],-8.0,0.0
168,[-1.22380952],[-0.03046032],[-0.00474603],[0.02111111],[-0.22460317],[-2.42063492],[-1.6468254],-15.0,0.0
169,[1.02571429],[0.00552381],[-0.06771429],[-0.01668571],[0.91333333],[0.14285714],[0.52],20.0,1.0
170,[-0.73964912],[-0.02046667],[0.00594386],[-0.08838246],[-1.78421053],[-2.29894737],[-1.56280702],-14.0,0.0
