,Team,PER,TS%,3PAr,FTr,ORB%,AST%,TOV%,W
21,ORL,12.299999999999997,0.5372105263157895,0.33405263157894743,0.24336842105263165,3.878947368421052,12.094736842105263,13.2,[25]
22,PHI,11.017391304347827,0.5275217391304349,0.3759130434782608,0.2568695652173913,5.078260869565218,12.93913043478261,15.169565217391305,[52]
23,PHO,12.790909090909093,0.5274090909090909,0.33968181818181814,0.3469090909090909,4.286363636363637,15.668181818181818,14.309090909090912,[21]
24,POR,16.20625,0.5768125000000001,0.28200000000000003,0.22225,6.3812500000000005,10.08125,11.9875,[49]
25,SAC,12.616666666666667,0.5066111111111111,0.2782222222222222,0.2117777777777778,5.583333333333333,11.694444444444446,11.283333333333335,[27]
26,SAS,14.341176470588238,0.5336470588235296,0.29270588235294115,0.2605294117647059,4.152941176470588,14.011764705882353,13.08235294117647,[47]
27,UTA,18.676190476190477,0.5640952380952382,0.3752857142857143,0.27638095238095234,4.419047619047619,11.242857142857142,12.604761904761904,[48]
28,WAS,14.033333333333335,0.5309333333333333,0.2582,0.27213333333333334,5.886666666666667,15.326666666666664,12.573333333333334,[43]
0,ATL,12.990909090909089,0.5645454545454545,0.4244545454545455,0.226,5.931818181818182,11.604545454545454,11.636363636363635,[29]
1,BOS,18.32941176470588,0.5713529411764705,0.3643529411764706,0.21041176470588235,9.13529411764706,17.682352941176468,9.829411764705883,[49]
2,BRK,14.25263157894737,0.549578947368421,0.3721578947368421,0.3112105263157895,5.7631578947368425,13.289473684210526,10.9,[42]
4,CHO,12.288235294117648,0.5119411764705883,0.30829411764705883,0.2741176470588235,4.164705882352941,14.123529411764705,10.047058823529412,[39]
7,DEN,12.738888888888889,0.5309444444444443,0.39711111111111114,0.24416666666666664,4.755555555555556,16.46666666666667,12.666666666666666,[54]
8,DET,11.225,0.49349999999999994,0.47520000000000007,0.29915,3.6650000000000014,13.059999999999999,12.439999999999998,[41]
9,GSW,15.047058823529412,0.5770588235294118,0.3131764705882353,0.21558823529411764,5.917647058823529,13.641176470588235,13.076470588235294,[57]
10,HOU,13.052173913043477,0.5210434782608695,0.5193478260869565,0.20308695652173914,4.208695652173914,9.808695652173911,9.930434782608698,[53]
11,IND,12.435294117647057,0.49952941176470594,0.285,0.22223529411764706,5.517647058823529,14.294117647058824,11.823529411764707,[48]
12,LAC,12.504545454545456,0.5365454545454544,0.3212727272727273,0.3039545454545454,5.4363636363636365,11.70909090909091,13.100000000000001,[48]
13,LAL,12.45909090909091,0.5175454545454545,0.33431818181818185,0.25259090909090903,5.24090909090909,13.209090909090907,12.813636363636363,[37]
14,MEM,12.185714285714285,0.5228214285714285,0.3365,0.2354285714285714,3.992857142857143,13.171428571428569,12.317857142857145,[33]
15,MIA,12.272222222222222,0.49027777777777776,0.4012222222222222,0.3123888888888889,6.605555555555556,13.922222222222224,10.750000000000002,[39]
16,MIL,14.004166666666668,0.5446666666666666,0.4848333333333334,0.2081666666666667,4.195833333333333,15.004166666666668,12.741666666666667,[60]
17,MIN,13.609523809523807,0.5388095238095238,0.39261904761904765,0.21890476190476188,3.8142857142857145,14.495238095238093,10.68095238095238,[36]
18,NOP,12.61,0.5251999999999999,0.42489999999999994,0.20400000000000001,4.965,13.179999999999998,12.445,[33]
19,NYK,12.791304347826086,0.5192608695652174,0.32673913043478264,0.29217391304347823,4.060869565217391,14.60869565217391,11.395652173913042,[17]
20,OKC,5.78888888888889,0.4333888888888889,0.43472222222222223,0.1738888888888889,9.327777777777776,8.772222222222222,8.372222222222224,[49]
21,ORL,14.305882352941177,0.536,0.3237058823529412,0.25158823529411767,5.264705882352941,15.905882352941175,10.68235294117647,[42]
22,PHI,13.765384615384615,0.5499615384615384,0.388576923076923,0.2538461538461539,5.142307692307693,13.957692307692307,11.319230769230769,[51]
24,POR,13.511111111111111,0.5477777777777778,0.3222222222222222,0.23994444444444443,5.522222222222222,11.899999999999999,13.538888888888888,[53]
25,SAC,12.534999999999998,0.53075,0.3467,0.2326,4.515000000000001,11.91,11.005,[39]
26,SAS,13.59375,0.558125,0.261,0.28550000000000003,5.268750000000001,13.21875,13.212499999999999,[48]
27,UTA,13.372222222222222,0.5548888888888889,0.3900555555555555,0.26049999999999995,5.205555555555556,14.31111111111111,13.844444444444441,[50]
28,WAS,13.731999999999998,0.5494,0.415,0.2486,5.176,13.22,11.696,[32]
