,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
120,201611130CLE,Charlotte,CHO,93,Cleveland,CLE,100,Cleveland,CLE,Charlotte,CHO
121,201611130GSW,Phoenix,PHO,120,Golden State,GSW,133,Golden State,GSW,Phoenix,PHO
122,201611130MIN,LA Lakers,LAL,99,Minnesota,MIN,125,Minnesota,MIN,LA Lakers,LAL
123,201611130OKC,Orlando,ORL,119,Oklahoma City,OKC,117,Orlando,ORL,Oklahoma City,OKC
124,201611140DET,Oklahoma City,OKC,88,Detroit,DET,104,Detroit,DET,Oklahoma City,OKC
125,201611140HOU,Philadelphia,PHI,88,Houston,HOU,115,Houston,HOU,Philadelphia,PHI
126,201611140IND,Orlando,ORL,69,Indiana,IND,88,Indiana,IND,Orlando,ORL
127,201611140LAC,Brooklyn,BRK,95,LA Clippers,LAC,127,LA Clippers,LAC,Brooklyn,BRK
128,201611140NOP,Boston,BOS,105,New Orleans,NOP,106,New Orleans,NOP,Boston,BOS
129,201611140NYK,Dallas,DAL,77,New York,NYK,93,New York,NYK,Dallas,DAL
130,201611140SAS,Miami,MIA,90,San Antonio,SAS,94,San Antonio,SAS,Miami,MIA
131,201611150CLE,Toronto,TOR,117,Cleveland,CLE,121,Cleveland,CLE,Toronto,TOR
132,201611150LAL,Brooklyn,BRK,118,LA Lakers,LAL,125,LA Lakers,LAL,Brooklyn,BRK
133,201611150MIA,Atlanta,ATL,93,Miami,MIA,90,Atlanta,ATL,Miami,MIA
134,201611150MIN,Charlotte,CHO,115,Minnesota,MIN,108,Charlotte,CHO,Minnesota,MIN
135,201611160ATL,Milwaukee,MIL,100,Atlanta,ATL,107,Atlanta,ATL,Milwaukee,MIL
136,201611160BOS,Dallas,DAL,83,Boston,BOS,90,Boston,BOS,Dallas,DAL
137,201611160DEN,Phoenix,PHO,104,Denver,DEN,120,Denver,DEN,Phoenix,PHO
138,201611160IND,Cleveland,CLE,93,Indiana,IND,103,Indiana,IND,Cleveland,CLE
139,201611160LAC,Memphis,MEM,111,LA Clippers,LAC,107,Memphis,MEM,LA Clippers,LAC
140,201611160NYK,Detroit,DET,102,New York,NYK,105,New York,NYK,Detroit,DET
141,201611160OKC,Houston,HOU,103,Oklahoma City,OKC,105,Oklahoma City,OKC,Houston,HOU
142,201611160ORL,New Orleans,NOP,82,Orlando,ORL,89,Orlando,ORL,New Orleans,NOP
143,201611160PHI,Washington,WAS,102,Philadelphia,PHI,109,Philadelphia,PHI,Washington,WAS
144,201611160SAC,San Antonio,SAS,110,Sacramento,SAC,105,San Antonio,SAS,Sacramento,SAC
145,201611170HOU,Portland,POR,109,Houston,HOU,126,Houston,HOU,Portland,POR
146,201611170MIA,Milwaukee,MIL,73,Miami,MIA,96,Miami,MIA,Milwaukee,MIL
147,201611170MIN,Philadelphia,PHI,86,Minnesota,MIN,110,Minnesota,MIN,Philadelphia,PHI
148,201611170UTA,Chicago,CHI,85,Utah,UTA,77,Chicago,CHI,Utah,UTA
149,201611180BOS,Golden State,GSW,104,Boston,BOS,88,Golden State,GSW,Boston,BOS
150,201611180CHO,Atlanta,ATL,96,Charlotte,CHO,100,Charlotte,CHO,Atlanta,ATL
151,201611180CLE,Detroit,DET,81,Cleveland,CLE,104,Cleveland,CLE,Detroit,DET
152,201611180DAL,Memphis,MEM,80,Dallas,DAL,64,Memphis,MEM,Dallas,DAL
153,201611180DEN,Toronto,TOR,113,Denver,DEN,111,Toronto,TOR,Denver,DEN
154,201611180IND,Phoenix,PHO,116,Indiana,IND,96,Phoenix,PHO,Indiana,IND
155,201611180LAL,San Antonio,SAS,116,LA Lakers,LAL,107,San Antonio,SAS,LA Lakers,LAL
156,201611180NOP,Portland,POR,101,New Orleans,NOP,113,New Orleans,NOP,Portland,POR
157,201611180OKC,Brooklyn,BRK,105,Oklahoma City,OKC,124,Oklahoma City,OKC,Brooklyn,BRK
158,201611190DET,Boston,BOS,94,Detroit,DET,92,Boston,BOS,Detroit,DET
159,201611190HOU,Utah,UTA,102,Houston,HOU,111,Houston,HOU,Utah,UTA
160,201611190LAC,Chicago,CHI,95,LA Clippers,LAC,102,LA Clippers,LAC,Chicago,CHI
161,201611190MEM,Minnesota,MIN,71,Memphis,MEM,93,Memphis,MEM,Minnesota,MIN
162,201611190MIL,Golden State,GSW,124,Milwaukee,MIL,121,Golden State,GSW,Milwaukee,MIL
163,201611190NOP,Charlotte,CHO,116,New Orleans,NOP,121,New Orleans,NOP,Charlotte,CHO
164,201611190ORL,Dallas,DAL,87,Orlando,ORL,95,Orlando,ORL,Dallas,DAL
165,201611190PHI,Phoenix,PHO,105,Philadelphia,PHI,120,Philadelphia,PHI,Phoenix,PHO
166,201611200BRK,Portland,POR,129,Brooklyn,BRK,109,Portland,POR,Brooklyn,BRK
167,201611200DEN,Utah,UTA,91,Denver,DEN,105,Denver,DEN,Utah,UTA
168,201611200LAL,Chicago,CHI,118,LA Lakers,LAL,110,Chicago,CHI,LA Lakers,LAL
169,201611200NYK,Atlanta,ATL,94,New York,NYK,104,New York,NYK,Atlanta,ATL
170,201611200OKC,Indiana,IND,115,Oklahoma City,OKC,111,Indiana,IND,Oklahoma City,OKC
171,201611210CHO,Memphis,MEM,105,Charlotte,CHO,90,Memphis,MEM,Charlotte,CHO
172,201611210DET,Houston,HOU,99,Detroit,DET,96,Houston,HOU,Detroit,DET
173,201611210IND,Golden State,GSW,120,Indiana,IND,83,Golden State,GSW,Indiana,IND
174,201611210LAC,Toronto,TOR,115,LA Clippers,LAC,123,LA Clippers,LAC,Toronto,TOR
175,201611210MIL,Orlando,ORL,89,Milwaukee,MIL,93,Milwaukee,MIL,Orlando,ORL
176,201611210MIN,Boston,BOS,99,Minnesota,MIN,93,Boston,BOS,Minnesota,MIN
177,201611210PHI,Miami,MIA,94,Philadelphia,PHI,101,Philadelphia,PHI,Miami,MIA
178,201611210SAS,Dallas,DAL,91,San Antonio,SAS,96,San Antonio,SAS,Dallas,DAL
179,201611220ATL,New Orleans,NOP,112,Atlanta,ATL,94,New Orleans,NOP,Atlanta,ATL
180,201611220DEN,Chicago,CHI,107,Denver,DEN,110,Denver,DEN,Chicago,CHI
181,201611220LAL,Oklahoma City,OKC,109,LA Lakers,LAL,111,LA Lakers,LAL,Oklahoma City,OKC
182,201611230BRK,Boston,BOS,111,Brooklyn,BRK,92,Boston,BOS,Brooklyn,BRK
183,201611230CHO,San Antonio,SAS,119,Charlotte,CHO,114,San Antonio,SAS,Charlotte,CHO
184,201611230CLE,Portland,POR,125,Cleveland,CLE,137,Cleveland,CLE,Portland,POR
