game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
21600632,2017-01-18,MIL @ HOU,HOU,t,W,33,12,0.733,240,43,95,0.453,14,44,0.318,11,15,1,13,33,46,25,9,12,10,17,111,MIL,2016,Regular Season,2016-17
21600595,2017-01-13,MEM @ HOU,HOU,t,L,31,11,0.738,240,33,82,0.402,10,41,0.244,29,36,1,10,21,31,19,9,2,12,20,105,MEM,2016,Regular Season,2016-17
21600380,2016-12-14,SAC @ HOU,HOU,t,W,19,7,0.731,240,50,85,0.588,22,42,0.524,10,16,1,8,39,47,40,8,5,16,11,132,SAC,2016,Regular Season,2016-17
21600326,2016-12-07,LAL @ HOU,HOU,t,W,15,7,0.682,240,51,94,0.543,15,36,0.417,17,21,1,15,37,52,35,20,2,20,22,134,LAl,2016,Regular Season,2016-17
21600149,2016-11-14,PHI @ HOU,HOU,t,W,6,4,0.6,240,44,91,0.484,17,40,0.425,10,17,1,16,39,55,20,6,10,17,19,115,PHI,2016,Regular Season,2016-17
21600134,2016-11-12,SAS @ HOU,HOU,t,L,5,4,0.556,240,34,89,0.382,15,47,0.319,17,21,1,16,30,46,22,6,4,14,19,100,SAS,2016,Regular Season,2016-17
41600236,2017-05-11,SAS @ HOU,HOU,t,L,2,4,0.333,240,22,77,0.286,13,40,0.325,18,25,1,10,27,37,14,5,3,13,16,75,SAS,2016,Playoffs,2016-17
41600233,2017-05-05,SAS @ HOU,HOU,t,L,1,2,0.333,240,32,88,0.364,12,39,0.308,16,18,1,14,25,39,17,12,7,14,18,92,SAS,2016,Playoffs,2016-17
41600165,2017-04-25,OKC @ HOU,HOU,t,W,4,1,0.8,240,33,82,0.402,6,37,0.162,33,39,1,10,37,47,13,7,6,12,23,105,OKC,2016,Playoffs,2016-17
21601221,2017-04-12,WAS @ MIA,MIA,t,W,41,41,0.5,240,46,88,0.523,8,24,0.333,10,12,1,14,37,51,19,2,4,17,13,110,WAS,2016,Regular Season,2016-17
21601007,2017-03-15,NOP @ MIA,MIA,t,W,33,35,0.485,240,44,87,0.506,16,35,0.457,16,19,1,12,33,45,23,9,3,15,22,120,NOP,2016,Regular Season,2016-17
21600823,2017-02-13,ORL @ MIA,MIA,t,L,24,32,0.429,240,39,83,0.47,6,22,0.273,23,27,1,6,31,37,14,7,7,14,25,107,ORL,2016,Regular Season,2016-17
21600705,2017-01-28,DET @ MIA,MIA,t,W,18,30,0.375,240,42,80,0.525,14,28,0.5,18,23,1,9,29,38,18,6,6,11,19,116,DET,2016,Regular Season,2016-17
