Date,Start (ET),Visitor,PTS-V,Home,PTS-H
Wed Nov 23 2016,9:30p,MIN,96,NOP,117
Wed Nov 23 2016,7:00p,PHO,92,ORL,87
Wed Nov 23 2016,7:00p,MEM,104,PHI,99
Wed Nov 23 2016,10:30p,OKC,101,SAC,116
Wed Nov 23 2016,9:00p,DEN,83,UTA,108
Fri Nov 25 2016,1:00p,SAS,109,BOS,103
Fri Nov 25 2016,7:30p,DAL,90,CHO,128
Fri Nov 25 2016,9:00p,OKC,132,DEN,129
Fri Nov 25 2016,7:30p,LAC,97,DET,108
Fri Nov 25 2016,8:00p,BRK,97,IND,118
Fri Nov 25 2016,10:30p,GSW,109,LAL,85
Fri Nov 25 2016,8:00p,MIA,90,MEM,81
Fri Nov 25 2016,8:00p,TOR,105,MIL,99
Fri Nov 25 2016,7:30p,CHO,111,NYK,113
Fri Nov 25 2016,7:00p,WAS,94,ORL,91
Fri Nov 25 2016,7:30p,CHI,105,PHI,89
Fri Nov 25 2016,9:00p,MIN,98,PHO,85
Fri Nov 25 2016,10:00p,NOP,104,POR,119
Fri Nov 25 2016,10:30p,HOU,117,SAC,104
Fri Nov 25 2016,8:00p,ATL,68,UTA,95
Sat Nov 26 2016,7:00p,NYK,102,CHO,107
Sat Nov 26 2016,10:30p,MIN,102,GSW,115
Sat Nov 26 2016,8:00p,MEM,110,MIA,107
Sat Nov 26 2016,8:00p,DET,88,OKC,106
Sat Nov 26 2016,7:00p,SAS,112,WAS,100
Sun Nov 27 2016,6:00p,SAC,122,BRK,105
Sun Nov 27 2016,7:00p,NOP,81,DAL,91
Sun Nov 27 2016,6:00p,LAC,70,IND,91
Sun Nov 27 2016,9:30p,ATL,94,LAL,109
Sun Nov 27 2016,6:00p,MIL,104,ORL,96
Sun Nov 27 2016,1:00p,CHO,112,PHI,108
Sun Nov 27 2016,3:30p,DEN,120,PHO,114
Sun Nov 27 2016,9:00p,HOU,130,POR,114
Mon Nov 28 2016,10:30p,ATL,100,GSW,105
Mon Nov 28 2016,8:00p,CHO,104,MEM,85
Mon Nov 28 2016,7:30p,BOS,112,MIA,104
Mon Nov 28 2016,8:00p,UTA,112,MIN,103
Mon Nov 28 2016,7:30p,OKC,112,NYK,103
Mon Nov 28 2016,7:30p,PHI,95,TOR,122
Mon Nov 28 2016,7:00p,SAC,95,WAS,101
Tue Nov 29 2016,7:30p,LAC,122,BRK,127
Tue Nov 29 2016,7:00p,DET,112,CHO,89
Tue Nov 29 2016,8:00p,CHO,101,MIL,118
Tue Nov 29 2016,8:00p,LAL,88,NOP,105
Tue Nov 29 2016,8:30p,ORL,95,SAS,83
Tue Nov 29 2016,9:00p,HOU,101,UTA,120
Wed Nov 30 2016,7:30p,DET,121,BOS,114
Wed Nov 30 2016,8:00p,LAL,96,CHI,90
Wed Nov 30 2016,8:30p,SAS,94,DAL,87
Wed Nov 30 2016,9:00p,MIA,106,DEN,98
Wed Nov 30 2016,8:00p,NYK,106,MIN,104
Wed Nov 30 2016,8:00p,WAS,115,OKC,126
Wed Nov 30 2016,9:00p,ATL,107,PHO,109
Wed Nov 30 2016,10:00p,IND,109,POR,131
Wed Nov 30 2016,7:30p,MEM,105,TOR,120
Thu Dec 1 2016,7:30p,MIL,111,BRK,93
Thu Dec 1 2016,7:00p,DAL,87,CHO,97
Thu Dec 1 2016,8:00p,LAC,113,CHO,94
Thu Dec 1 2016,10:30p,HOU,132,GSW,127
Thu Dec 1 2016,8:00p,ORL,94,MEM,95
Thu Dec 1 2016,9:00p,MIA,111,UTA,110
Fri Dec 2 2016,8:00p,DET,121,ATL,85
Fri Dec 2 2016,7:30p,SAC,92,BOS,97
Fri Dec 2 2016,8:00p,CHO,105,CHI,111
Fri Dec 2 2016,10:30p,HOU,128,DEN,110
Fri Dec 2 2016,8:00p,LAC,114,NOP,96
Fri Dec 2 2016,7:30p,MIN,114,NYK,118
Fri Dec 2 2016,7:00p,ORL,105,PHI,88
Fri Dec 2 2016,8:30p,WAS,105,SAS,107
Fri Dec 2 2016,7:30p,LAL,80,TOR,113
Sat Dec 3 2016,7:00p,MIN,125,CHO,120
Sat Dec 3 2016,8:30p,CHI,82,DAL,107
Sat Dec 3 2016,10:30p,PHO,109,GSW,138
Sat Dec 3 2016,8:00p,LAL,100,MEM,103
Sat Dec 3 2016,5:00p,BRK,103,MIL,112
Sat Dec 3 2016,7:30p,BOS,107,PHI,106
Sat Dec 3 2016,10:00p,MIA,92,POR,99
Sat Dec 3 2016,7:30p,ATL,84,TOR,128
Sat Dec 3 2016,9:00p,DEN,98,UTA,105
Sun Dec 4 2016,6:00p,ORL,98,DET,92
Sun Dec 4 2016,9:30p,IND,111,LAC,102
Sun Dec 4 2016,7:30p,SAC,98,NYK,106
Sun Dec 4 2016,7:00p,NOP,92,OKC,101
Mon Dec 5 2016,7:30p,OKC,102,ATL,99
Mon Dec 5 2016,7:30p,WAS,118,BRK,113
Mon Dec 5 2016,8:00p,POR,112,CHI,110
Mon Dec 5 2016,8:30p,CHO,109,DAL,101
Mon Dec 5 2016,10:30p,IND,106,GSW,142
Mon Dec 5 2016,8:00p,BOS,106,HOU,107
Mon Dec 5 2016,10:30p,UTA,107,LAL,101
Mon Dec 5 2016,8:00p,SAS,97,MIL,96
Mon Dec 5 2016,8:00p,MEM,110,NOP,108
Mon Dec 5 2016,7:00p,DEN,106,PHI,98
Mon Dec 5 2016,7:30p,CHO,116,TOR,112
Tue Dec 6 2016,7:30p,CHI,91,DET,102
Tue Dec 6 2016,8:00p,PHI,91,MEM,96
Tue Dec 6 2016,7:30p,NYK,114,MIA,103
Tue Dec 6 2016,8:00p,SAS,105,MIN,91
Tue Dec 6 2016,9:00p,PHO,105,UTA,112
Tue Dec 6 2016,7:00p,ORL,124,WAS,116
Wed Dec 7 2016,7:30p,MIA,95,ATL,103
Wed Dec 7 2016,7:30p,DEN,111,BRK,116
Wed Dec 7 2016,7:00p,DET,77,CHO,87
