Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
C,28,LAC,81,2570,21.8,0.673,0.003,0.737,13.3,34.6,24.2,5.7,1,4.3,13.1,15.3,,7.2,4.6,11.8,0.221,,1,3,4.1,3.9
PG,25,TOR,80,2003,13.2,0.518,0.204,0.185,2.9,10.4,6.6,20,1.7,0.6,13.1,18.4,,1.7,1.7,3.4,0.082,,-0.4,-0.4,-0.8,0.6
C,23,CHO,75,1954,13,0.502,0.441,0.195,3.2,15.8,9.5,13.5,1.2,1.5,8,21.8,,0.4,1.9,2.3,0.056,,-0.8,-0.8,-1.5,0.2
C,24,OKC,72,1533,23.7,0.599,0.052,0.387,14.1,20.8,17.4,7.9,1,2,12.5,27.3,,4,1.8,5.8,0.183,,0.6,-1.9,-1.2,0.3
PF,25,ATL,16,110,7.8,0.408,0.357,0.214,1,16.7,9,10.2,1.8,3.9,11.5,13.7,,-0.1,0.2,0.1,0.029,,-6.2,2.3,-3.9,-0.1
SF,23,CHO,81,2349,14.3,0.528,0.015,0.314,7.3,19.3,13.2,7.4,1.7,2.9,7.4,14.6,,2.7,3.1,5.8,0.119,,-2,2.2,0.2,1.3
SG,27,BRK,70,1754,13.1,0.546,0.419,0.329,1.3,15.4,8.4,14.6,1.2,0.3,13.8,23.8,,0.4,1.1,1.4,0.04,,-1.2,-1.8,-3,-0.4
SG,25,PHO,54,1140,12.4,0.502,0.265,0.293,2.3,9.1,5.6,17.8,1.1,0.4,12.9,25,,0.1,0.2,0.3,0.015,,-1.4,-3,-4.5,-0.7
SG,35,TOT,67,1753,12.1,0.635,0.697,0.082,0.5,11,5.8,9.4,1,1,11.5,15.2,,2.3,1.3,3.7,0.1,,0.8,-1,-0.2,0.8
SG,35,ATL,32,894,10.8,0.591,0.646,0.11,0,10.8,5.5,12.6,1.3,1.2,13.4,14.5,,0.7,1,1.6,0.088,,-0.5,0.1,-0.4,0.4
SG,35,CLE,35,859,13.5,0.677,0.743,0.056,0.9,11.2,6.2,6.1,0.6,0.8,9.5,15.8,,1.6,0.4,2,0.114,,2.2,-2.2,0,0.4
C,27,SAC,71,1419,13.8,0.56,0.003,0.158,9.7,23,16.4,5.3,1.3,3.1,12.7,15.3,,1.2,1.4,2.6,0.089,,-2.6,0.7,-1.9,0
SF,27,NYK,68,1016,12.4,0.533,0.455,0.184,5,8.4,6.7,10.3,1.4,0.9,11.3,19.2,,0.8,0.4,1.2,0.055,,-0.2,-2.5,-2.7,-0.2
PF,20,SAC,33,612,16.8,0.577,0.037,0.339,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,,0.7,0.5,1.3,0.099,,-1.7,-0.9,-2.6,-0.1
SG,24,CHO,62,1143,17,0.55,0.297,0.263,2.9,22.6,12.7,11.3,1.2,1.8,6.8,23.2,,1.4,1.3,2.7,0.115,,-0.8,-0.9,-1.7,0.1
PG,27,SAS,18,174,8.4,0.579,0.574,0.191,0.7,5.7,3.3,23,1.2,0.5,27.2,18.2,,0,0.2,0.2,0.044,,-2.5,-2.4,-4.9,-0.1
PF-C,25,TOT,70,980,12.6,0.509,0.292,0.217,8,20.2,14.1,10.8,1.3,0.5,13.2,18.5,,0.4,1.1,1.5,0.075,,-2.3,-0.9,-3.2,-0.3
PF,25,OKC,50,739,12.9,0.531,0.32,0.238,7.6,19.8,13.7,10.3,1.2,0.6,12.9,17.8,,0.6,0.8,1.4,0.091,,-1.9,-1,-2.9,-0.2
C,25,CHI,20,241,11.6,0.451,0.217,0.163,9.3,21.2,15.2,12.2,1.5,0,14,20.7,,-0.2,0.3,0.1,0.025,,-3.5,-0.6,-4,-0.1
SG,21,MIN,47,1749,14.6,0.576,0.437,0.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,,2.6,0.4,3,0.082,,2.2,-2.4,-0.3,0.8
PG,29,SAC,69,1732,15.4,0.551,0.226,0.416,3,8.9,6,29.9,2.2,0.3,17.3,19.5,,2.2,1,3.2,0.088,,0.2,-1.5,-1.3,0.3
SF,22,POR,35,249,4.9,0.404,0.573,0.191,2.7,8,5.3,6.2,1.8,1,10.2,19,,-0.4,0.1,-0.3,-0.054,,-4.7,-2.7,-7.4,-0.3
SG,31,NYK,77,2459,12.2,0.559,0.382,0.139,2.3,9,5.7,10.6,1.6,0.8,8.5,14.4,,3.1,1.1,4.2,0.081,,0.6,-0.7,-0.1,1.1
PF,33,SAS,79,1477,18.5,0.613,0,0.269,11.7,21.9,16.9,13,1.1,2.2,14.9,16.9,,3.2,2.5,5.7,0.186,,0.7,2.5,3.2,1.9
C,23,PHO,77,1560,15,0.553,0.026,0.449,10.6,25.3,17.8,4.2,1.2,5.1,15.5,17.6,,1.2,1.7,3,0.091,,-3,1.3,-1.7,0.1
SF,25,SAS,74,2474,27.6,0.61,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,,8.9,4.7,13.6,0.264,,6.4,1.5,7.9,6.2
PF,24,POR,74,1222,8.9,0.507,0.563,0.106,2.4,19.1,10.8,8.4,0.5,1.8,8.1,15.5,,0.5,0.8,1.4,0.053,,-2.1,-1.3,-3.3,-0.4
PF,27,DET,75,1944,14.2,0.551,0.259,0.175,5.5,17.5,11.3,8.6,0.8,1.1,8.7,17.3,,2.5,2,4.5,0.112,,-0.4,0.5,0.1,1
SF,22,BRK,57,1237,12.3,0.556,0.484,0.245,2,13.9,8,13.7,1.9,0.5,12.3,16.6,,0.8,1,1.8,0.07,,-0.7,-0.4,-1.1,0.3
SG,28,TOT,62,777,7.5,0.476,0.324,0.282,2.9,12.2,7.7,9.2,3,1.5,20.8,11.6,,-0.4,0.9,0.5,0.031,,-3.9,1.8,-2.1,0
SG,28,CLE,61,752,7.2,0.473,0.331,0.272,2.6,11.9,7.4,9.5,3,1.5,21.6,11.5,,-0.5,0.9,0.4,0.025,,-4,2,-2,0
SG,28,DAL,1,25,17.6,0.546,0.167,0.5,13.3,19.5,16.3,0,4.2,0,0,13.8,,0.1,0,0.1,0.194,,-1.9,-2,-3.9,0
PG,26,POR,75,2694,24.1,0.586,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,,8.8,1.5,10.4,0.185,,6.4,-2,4.3,4.3
PG,28,BRK,36,883,19.2,0.566,0.39,0.353,1.3,14.7,8.1,35.5,2.3,1.2,15.7,26.6,,1.3,0.8,2.1,0.116,,2.5,-0.4,2.2,0.9
PG,31,GSW,76,1345,10.1,0.568,0.009,0.19,2.4,9.4,6.2,13.5,1.4,1.2,15.3,13,,1.1,1.6,2.6,0.093,,-2.5,0.5,-2,0
C,24,PHI,18,234,24.1,0.595,0.174,0.321,19.3,20.8,20,10.7,1.9,3.1,9.5,25.4,,0.6,0.3,0.9,0.195,,3.4,0,3.4,0.3
C,20,GSW,53,447,13.6,0.553,0.084,0.318,11.5,18.5,15.2,8.5,1.6,3,12.2,13.4,,0.7,0.8,1.4,0.155,,-1.4,1.8,0.4,0.3
C,28,BRK,75,2222,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,,3.1,1.8,4.9,0.105,,1.9,-0.4,1.5,2
C,28,CHI,81,2271,14.4,0.511,0.003,0.134,11.5,13.2,12.3,5.6,0.4,4.1,10,17.5,,1.8,2.4,4.3,0.09,,-1.9,1,-0.9,0.6
PF,28,CLE,60,1885,21.1,0.573,0.449,0.34,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,,4,2.4,6.4,0.163,,1.7,-0.9,0.8,1.3
PG,30,TOR,60,2244,22.9,0.623,0.51,0.398,2.4,12,7.2,29.9,2,0.7,13.8,24.9,,7.8,2.3,10.1,0.216,,7.1,-0.5,6.6,4.9
PG,34,MIN,5,11,9.1,0.25,0.25,0,0,0,0,12.5,9.2,0,0,16.1,,0,0,0,-0.033,,-6,0.5,-5.6,0
SF,21,PHI,69,1190,8.5,0.536,0.446,0.341,2.3,11.5,6.9,9.6,1.3,0.7,15,17.8,,0,0.8,0.8,0.034,,-2.8,-1.2,-4,-0.6
PF,21,UTA,71,1158,9.9,0.464,0.465,0.18,4.9,18.1,11.7,9.5,1.2,1.4,11.9,21.7,,-0.9,1.6,0.8,0.031,,-3,-0.1,-3,-0.3
SG,24,WAS,30,287,10.1,0.518,0.4,0.36,1.6,11.7,6.7,7,1.4,0.6,5.4,14,,0.3,0.2,0.5,0.076,,-2.1,-1.4,-3.6,-0.1
PG,26,UTA,55,1205,10.9,0.518,0.315,0.202,2,9.8,6,20.4,1.8,0.2,17.8,19.6,,-0.1,1.5,1.4,0.054,,-1.7,-0.1,-1.8,0.1
C,30,WAS,31,555,14.1,0.601,0,0.676,9.6,20.8,15.2,4.7,2.9,3.6,19.1,14,,0.5,0.9,1.4,0.123,,-2.1,2.9,0.8,0.4
C,19,MIL,57,562,14,0.558,0.409,0.271,8.4,15.2,11.8,6.2,0.9,4.1,7.7,17.8,,0.8,0.5,1.3,0.113,,-0.5,-1,-1.5,0.1
C,28,DET,35,293,29.6,0.606,0,0.439,16.5,32.5,24.2,5.3,1,3.4,6,25.3,,1.2,0.5,1.7,0.28,,1,-0.9,0.1,0.2
PF,22,MEM,42,558,8.7,0.477,0.166,0.331,8.4,25.3,16.6,2.2,1.6,1.5,13.9,16.4,,-0.2,0.8,0.6,0.054,,-5.8,-0.6,-6.4,-0.6
SG,30,DAL,73,2495,11.9,0.533,0.566,0.211,0.8,11.8,6,13.6,1.6,0.5,9.9,19.4,,1,2.1,3.1,0.06,,0.2,-0.1,0.1,1.3
SF,30,LAC,80,1787,10.2,0.581,0.291,0.23,2.8,7.7,5.3,3.1,2.3,1.6,10,11.6,,1.3,1.8,3.1,0.084,,-0.8,1.6,0.7,1.2
PF,24,GSW,52,457,13.1,0.543,0.068,0.359,8.7,12.9,10.9,5.2,1.9,5,12.3,14.6,,0.3,0.8,1.1,0.117,,-2.8,2.4,-0.4,0.2
SG,21,GSW,71,1074,8.6,0.54,0.502,0.151,2.3,7.6,5.1,9,1.4,1.1,12.1,11.9,,0.5,1.2,1.7,0.077,,-1.6,-0.2,-1.8,0.1
SG,25,POR,80,2796,19.9,0.585,0.305,0.204,2.4,9.1,5.7,18,1.3,1.2,9.9,27.5,,6.2,1.4,7.6,0.131,,3.2,-2.3,1,2.1
PG,24,PHI,81,2133,13.7,0.504,0.107,0.176,2,11,6.5,37.5,3.1,0.4,22.4,14.4,,1.4,2.4,3.8,0.084,,-2,0.1,-1.9,0
PF,21,TOT,16,80,15.2,0.526,0.219,0.156,12.1,13.3,12.7,4.4,1.2,1.9,8.1,19.9,,0.1,0.1,0.1,0.072,,-1.9,-2.6,-4.6,-0.1
PF,21,BRK,14,72,16.8,0.541,0.194,0.097,13.4,11.6,12.5,4.9,0.7,2.1,5.8,20.4,,0.1,0,0.1,0.098,,-0.9,-3,-3.8,0
PF,21,WAS,2,8,1.1,0.266,1,2,0,28.1,14.1,0,6.2,0,34.7,15.7,,0,0,0,-0.162,,-11.8,0.3,-11.5,0
SF,23,TOT,49,505,11.5,0.555,0.391,0.225,3.2,14.1,8.7,4,1.8,2.8,13.5,18.1,,0,0.5,0.5,0.051,,-3.5,-0.6,-4.1,-0.3
SF,23,HOU,29,212,10.2,0.552,0.397,0.147,3.1,12.4,7.7,2.7,1.6,3,12.1,16.4,,0,0.2,0.3,0.058,,-3.7,-1,-4.7,-0.1
SF,23,BRK,20,293,12.5,0.556,0.386,0.277,3.3,15.3,9.4,4.9,1.9,2.6,14.4,19.3,,0,0.3,0.3,0.046,,-3.2,-0.4,-3.7,-0.1
SF,25,TOT,66,1508,10.7,0.554,0.419,0.169,1.4,11.5,6.4,5.9,0.4,0.3,6.6,16.4,,1.6,1,2.6,0.083,,-1.2,-2.3,-3.5,-0.6
SF,25,CHI,44,1078,11.3,0.555,0.402,0.18,1.4,11.7,6.5,6.5,0.5,0.3,7.4,17.6,,1.1,0.8,1.9,0.084,,-0.9,-2,-2.9,-0.2
SF,25,OKC,22,430,9.3,0.551,0.468,0.137,1.5,11.1,6.3,4.4,0.2,0.2,4.4,13.6,,0.5,0.2,0.7,0.08,,-2.1,-2.9,-4.9,-0.3
C,29,GSW,77,739,25.2,0.642,0.009,0.348,15.9,20.1,18.1,3.8,1.2,7.1,9.8,23.8,,2,1.5,3.5,0.225,,0.2,0.5,0.8,0.5
SG,25,MIA,78,1966,9.1,0.506,0.478,0.154,5.2,9.2,7.2,8.8,1.2,0.7,10.2,12.3,,1.2,1.7,2.9,0.072,,-0.8,0.5,-0.4,0.8
SG,23,SAC,61,1176,9.8,0.538,0.406,0.222,1.9,10.7,6.3,6.9,1.2,0.5,11.9,20.1,,-0.1,0.5,0.4,0.015,,-2.2,-2.7,-4.9,-0.9
SG,25,CLE,37,384,9.7,0.488,0.34,0.227,1.8,9.7,5.9,7.4,1,1.3,7.8,20.8,,-0.1,0.2,0.2,0.02,,-3.7,-2.8,-6.5,-0.4
PF,29,MIA,22,381,9.8,0.439,0.263,0.076,6.6,15,10.7,18.9,1.3,0.8,15.9,16.9,,-0.1,0.4,0.3,0.036,,-2.9,0.6,-2.4,0
SG,29,ORL,36,738,13.1,0.567,0.535,0.289,0.7,10.9,5.7,9.3,2.3,0.4,11.1,19.4,,0.5,0.6,1.1,0.073,,-0.4,-1.4,-1.8,0
C,30,DAL,73,905,14.8,0.65,0.022,0.445,11.9,28.4,19.8,2.4,1.8,6.1,19.6,10.6,,1.3,1.7,3,0.159,,-3.6,3.8,0.2,0.5
PF,22,BOS,25,141,9.8,0.473,0.029,0.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,,-0.1,0.2,0.1,0.036,,-5.7,0.9,-4.9,-0.1
SF,25,MIL,29,889,15,0.57,0.312,0.276,1.5,14.5,8.1,17.5,2.3,0.7,14.8,22.5,,0.7,0.9,1.6,0.085,,0,-0.6,-0.5,0.3
SF,29,IND,76,1776,13.8,0.592,0.632,0.144,1.9,12.4,7.2,4.1,1.3,1.2,5.5,18.4,,2.7,1.4,4,0.109,,1.6,-2.1,-0.5,0.7
SF,36,DEN,20,151,7.6,0.586,0.87,0.087,1.5,26.1,13.9,18.3,0.6,0,35.2,10.4,,0,0.1,0.1,0.018,,-3.2,-0.8,-4.1,-0.1
PG,28,SAS,80,1754,15.2,0.578,0.572,0.129,1.6,7.4,4.6,24.3,1.9,0.1,13.3,19.5,,2.9,2.2,5.1,0.139,,2.5,-1.2,1.3,1.5
SG,29,PHO,2,23,-3.4,0.19,0.286,0.286,13.8,14.6,14.2,5.6,0,0,20.2,18,,-0.1,0,-0.1,-0.233,,-10,-3.3,-13.2,-0.1
PF,31,ATL,69,2343,17.8,0.542,0.248,0.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,,2.6,3.8,6.4,0.132,,0.5,2.1,2.7,2.7
PF,25,CHI,70,1679,14.5,0.546,0.603,0.205,3.9,20.9,12.3,6.9,1.6,2.6,10.5,19.8,,1.2,2.5,3.8,0.107,,-0.1,0.4,0.4,1
C,26,MIL,81,1823,21.1,0.572,0.006,0.329,10.8,23.1,17,17.3,2.6,1.8,14.4,24.3,,3,2.6,5.6,0.147,,0.5,1.5,2,1.9
SG,27,NOP,73,1820,12.1,0.537,0.336,0.12,1.9,6.9,4.4,13.8,1.3,1.4,8.7,17.4,,1.2,1.5,2.7,0.07,,-0.9,-0.5,-1.3,0.3
SF,27,DET,79,2565,12.4,0.508,0.355,0.184,3.2,12.8,7.8,9.4,1,0.8,7.4,20.3,,1.4,2.4,3.9,0.072,,-0.3,-0.2,-0.5,1
PF,27,WAS,76,2374,13.7,0.54,0.22,0.242,5.1,18.2,11.7,7.8,1.7,1.5,11.6,20.5,,1.6,2.5,4.1,0.083,,-1.3,0.3,-1,0.6
SG,31,TOT,49,714,10.1,0.505,0.528,0.147,1.9,2.9,2.4,5.2,1.7,0.2,2.2,16.4,,0.7,0.5,1.2,0.083,,-1.2,-3.1,-4.3,-0.4
SG,31,OKC,40,627,9.2,0.491,0.534,0.117,1.9,3.2,2.6,4.5,1.7,0.3,2.5,16.3,,0.4,0.4,0.9,0.069,,-1.6,-2.9,-4.5,-0.4
SG,31,CHI,9,87,16,0.606,0.483,0.379,1.2,1.2,1.2,10.4,1.2,0,0,17,,0.3,0,0.3,0.19,,2,-4.4,-2.4,0
PF,26,NOP,34,479,9.1,0.47,0.341,0.355,5.7,16.6,11.1,9.7,1.8,1.9,16.3,17.6,,-0.5,0.6,0.2,0.016,,-4.2,1.1,-3.1,-0.1
C,30,LAL,54,1104,12.3,0.553,0.003,0.238,9.9,16.4,13.1,5.9,0.7,2.3,16.6,16.8,,0.7,0.4,1.1,0.048,,-2.8,-0.8,-3.6,-0.4
PG,20,DEN,55,1406,10.9,0.483,0.323,0.303,2.3,11.6,7,21.8,1.4,0.7,16.5,22.6,,-0.4,0.5,0.2,0.006,,-2,-1.7,-3.7,-0.6
SF,24,MIN,78,1516,14.9,0.566,0.242,0.318,6.4,10.6,8.5,3.7,0.7,0.3,7.6,21.5,,2.5,0.2,2.7,0.086,,-0.2,-4.3,-4.4,-0.9
PG,20,SAS,38,322,9.6,0.503,0.198,0.259,2.2,12.4,7.4,22.6,1.3,1.5,22.7,23.5,,-0.4,0.5,0,0.004,,-4.6,-0.2,-4.8,-0.2
SG,19,DEN,82,1764,11.9,0.518,0.471,0.164,2.6,10.7,6.7,14,1.4,1.1,12.6,21.6,,0.6,0.7,1.3,0.037,,-0.5,-2.1,-2.6,-0.3
C,25,ATL,70,1237,14.4,0.596,0.326,0.19,6.9,14.4,10.7,11.9,1.2,2.8,13.1,14.8,,1.8,1.6,3.4,0.132,,-0.4,1.5,1.1,1
PF,24,LAL,63,1442,15.7,0.567,0.1,0.222,8.8,19.6,14,9.7,2.8,2.2,12.4,13.4,,2.1,1.5,3.5,0.118,,-0.3,2.2,1.9,1.4
PG,25,POR,53,512,13.6,0.533,0.503,0.268,1.7,11.5,6.6,19.5,3.1,0.3,16.7,21.2,,0.1,0.5,0.6,0.06,,-0.9,-1.3,-2.2,0
PF,24,NYK,32,331,11.3,0.503,0.081,0.302,7.1,13.7,10.4,3.5,2.3,2,11,14.3,,0.1,0.3,0.4,0.059,,-3.5,-0.3,-3.8,-0.1
SG,32,ATL,2,18,-4.3,0.228,0.286,0.571,0,6,3.1,7.1,0,0,0,21.2,,-0.1,0,-0.1,-0.189,,-11.8,-4.9,-16.6,-0.1
PG,34,DEN,75,2045,11.5,0.544,0.452,0.104,1.5,8.8,5.2,26,1.3,0.3,16.8,15.8,,2.3,0.5,2.8,0.066,,0.4,-2.3,-2,0
PG,24,UTA,40,346,10.7,0.527,0.341,0.099,1.4,8.4,5,15.1,3.2,1.2,13.6,14.8,,0.2,0.6,0.7,0.1,,-1.7,1.4,-0.3,0.1
PF,23,IND,23,93,0.1,0.285,0.333,0.056,2.4,17.9,10.3,7.5,1.6,0,11.9,20.2,,-0.4,0.1,-0.3,-0.168,,-9.9,-2.2,-12,-0.2
PF,27,TOT,38,342,5.9,0.427,0.243,0.126,4.9,14.6,9.8,4.1,2.3,1.5,12.7,17,,-0.5,0.4,-0.1,-0.019,,-5.9,-0.5,-6.4,-0.4
PF,27,WAS,28,231,6.3,0.425,0.208,0.156,5.4,11.2,8.3,4.2,2.3,2.2,11.8,17.6,,-0.3,0.3,-0.1,-0.014,,-5.5,-0.3,-5.7,-0.2
PF,27,BRK,10,111,5,0.43,0.324,0.059,3.9,21.7,12.9,4,2.1,0,14.7,15.8,,-0.2,0.1,-0.1,-0.03,,-6.8,-1,-7.8,-0.2
C,31,NYK,46,1015,15.2,0.491,0.005,0.386,17.1,25.6,21.4,14.1,1.5,3,19.7,12.6,,1,1.2,2.2,0.106,,-0.7,2.8,2.1,1.1
C,22,TOT,51,1047,20.4,0.622,0.003,0.359,9.8,22.3,15.9,8.1,3.1,4,12.5,17.6,,2.1,1.9,4,0.181,,-0.5,3.7,3.2,1.4
C,22,PHI,29,564,20.8,0.634,0.006,0.36,9,19.2,14.1,9,3.7,3.7,12.5,17.8,,1.1,1,2.2,0.184,,0.2,3.7,3.9,0.8
C,22,DAL,22,483,19.8,0.606,0,0.358,10.8,26,18,7,2.4,4.5,12.4,17.3,,0.9,0.9,1.8,0.178,,-1.3,3.8,2.5,0.5
C,24,TOR,57,1088,15.5,0.682,0.077,0.429,8.5,16.8,12.7,5.4,2.4,7.1,19.9,9.5,,1.7,2,3.7,0.164,,-0.1,5.6,5.4,2
PF,33,MIL,8,22,1.3,0.357,0.857,0,0,15.7,7.9,0,0,0,0,14.5,,0,0,0,-0.075,,-6.9,-6.7,-13.6,-0.1
PF,38,DAL,54,1424,17,0.529,0.308,0.165,1.8,28.3,14.4,10.6,1.1,2.4,6.6,25.8,,0.6,1.9,2.5,0.084,,-1.6,0.3,-1.3,0.2
C,22,TOT,65,1391,17.5,0.528,0.002,0.393,12.3,24.8,18.6,13.9,1.8,4.2,18.6,23.9,,0.2,1.8,2,0.068,,-2.3,2.2,-0.2,0.6
C,22,DEN,45,807,15,0.515,0,0.379,12.3,23.2,17.8,11.1,1.5,3.5,18.9,22.6,,-0.2,0.8,0.6,0.034,,-3.2,1,-2.3,-0.1
C,22,POR,20,584,21.1,0.545,0.004,0.411,12.3,27.1,19.7,17.7,2.1,5.2,18.2,25.7,,0.4,1,1.4,0.116,,-1.1,3.8,2.7,0.7
SG,24,LAL,20,397,12.2,0.611,0.062,0.481,4.5,13.1,8.7,5,1.6,1.4,10.1,11.8,,0.6,0.2,0.8,0.091,,-1.7,-0.3,-1.9,0
PF,23,TOT,11,80,14.9,0.582,0.2,0.2,12.4,13.7,13.1,12.7,0,1,15.5,21.1,,0.1,0,0.1,0.088,,-0.2,-3.1,-3.3,0
PF,23,DEN,7,46,14.4,0.597,0.2,0.267,12.1,14.3,13.2,6.2,0,1.7,15.2,18.3,,0.1,0,0.1,0.096,,-0.8,-3.1,-4,0
PF,23,CHO,4,34,15.5,0.567,0.2,0.133,12.9,13,12.9,21.6,0,0,15.9,25,,0,0,0.1,0.078,,0.7,-3.1,-2.3,0
C,26,NYK,79,1229,20.5,0.552,0.041,0.201,13.7,24.8,19.2,14.8,1.5,6.9,14.5,18.5,,2.1,1.8,3.9,0.151,,-0.1,3.7,3.5,1.7
C,23,WAS,19,75,6.6,0.43,0,0.074,7.6,25.4,16.5,5.8,1.3,0,9.7,18,,-0.1,0.1,0,0.005,,-6.5,-1.9,-8.4,-0.1
C,21,PHI,50,1134,14.8,0.546,0,0.335,7.8,15.5,11.7,9,0.9,3.4,14.4,24.1,,0.1,1.1,1.2,0.05,,-3.4,0.1,-3.3,-0.4
SG,24,OKC,67,2222,13.6,0.534,0.378,0.165,1.9,12.6,7.2,12.5,1.7,0.8,10.6,21.4,,1.7,2.3,4,0.085,,-0.4,-0.9,-1.3,0.4
C,25,BOS,75,1538,15.3,0.603,0.378,0.242,5.3,20.7,13.1,15.2,1.4,1.5,14.6,19,,2.2,1.9,4.1,0.127,,0.1,0.5,0.7,1
C,29,ORL,8,28,5.8,0.5,0,0,7.6,16,11.7,9.9,0,2.9,33.3,9.4,,0,0,0,-0.005,,-6.5,0.7,-5.9,0
C,20,HOU,5,52,12.3,0.799,0,0.571,4.2,16.8,10.5,7.8,2.8,1.6,31.3,10.4,,0.1,0.1,0.1,0.123,,-2.4,1.8,-0.6,0
SF,21,WAS,79,1605,9.1,0.516,0.425,0.224,4.3,14,9.2,4,1.8,0.9,9.3,14.6,,0.6,1.5,2,0.061,,-1.8,-0.5,-2.3,-0.1
C,32,GSW,70,1268,16.1,0.588,0.007,0.41,12.9,22,17.7,13.6,2.2,2,19.4,15.3,,2.3,2.5,4.7,0.178,,-0.3,3,2.7,1.5
C,19,SAC,22,355,12.7,0.573,0.02,0.137,7.9,20,14,9,0.4,4.4,18.2,16.9,,0.1,0.3,0.4,0.057,,-3.5,0.8,-2.7,-0.1
PF,21,MIL,51,1728,19.1,0.563,0.219,0.268,5.4,15.7,10.6,14.3,1.5,1.1,9.3,26.5,,2.6,1.5,4,0.112,,1.5,-1.3,0.2,1
PG,34,SAS,63,1587,13,0.514,0.121,0.206,0.7,7.3,4,27.8,1.1,0.1,12.5,20.2,,1.4,1.7,3,0.092,,-1.2,-1.7,-3,-0.4
SF,28,MEM,34,675,7.7,0.436,0.419,0.194,1,13.6,7.1,12.8,1.5,0.7,9.1,17.8,,-0.5,0.7,0.2,0.015,,-3.6,-0.5,-4.1,-0.3
SG,25,ATL,5,40,-1.9,0.276,0.4,0.2,2.8,16.3,9.6,21.1,1.2,0,19.7,22.2,,-0.2,0,-0.1,-0.176,,-9.9,-1.2,-11.2,-0.1
PF,27,TOR,65,1599,10.8,0.542,0.659,0.156,4.4,16.3,10.4,6.6,1.3,1.2,8.5,12.5,,1.7,1.6,3.3,0.1,,0.5,0.4,0.9,1.2
PG,31,LAC,61,1921,26.2,0.614,0.385,0.331,2.4,15,8.9,46.8,3.1,0.3,14,24.4,,7.9,2.6,10.6,0.264,,7.8,1.1,8.8,5.3
PF,25,MIN,18,135,14.4,0.505,0.278,0.352,7.7,21,14.3,8,3,4.4,11.4,23.1,,0,0.2,0.2,0.086,,-2.2,0.7,-1.5,0
PG,22,TOT,31,462,5.5,0.407,0.446,0.041,0.7,10.7,5.7,17.7,1.5,0.7,12.9,20.9,,-0.8,0.4,-0.3,-0.035,,-4.8,-2.2,-7,-0.6
PG,22,OKC,20,320,6.1,0.402,0.4,0.031,0.7,10.1,5.4,18.3,1.5,1,10.8,19.6,,-0.4,0.3,-0.1,-0.012,,-4.7,-2,-6.8,-0.4
PG,22,CHI,11,142,4,0.417,0.54,0.063,0.8,12.2,6.5,16.2,1.4,0,16.7,23.9,,-0.4,0.1,-0.3,-0.086,,-5,-2.5,-7.5,-0.2
PG,22,ORL,82,2412,17.2,0.52,0.16,0.231,3.9,13.9,8.7,35.7,1.8,1.3,15,21.6,,2.4,2,4.4,0.088,,0.7,0.2,0.9,1.7
PG,24,MIL,6,99,4.5,0.413,0.409,0.227,0,14,7.1,18.1,1.5,3.6,29.2,15.8,,-0.3,0.1,-0.2,-0.074,,-7.3,0.6,-6.7,-0.1
SF,39,LAC,25,277,5.7,0.535,0.614,0.186,0.4,18.5,9.7,5,0.7,1.5,17.4,14.8,,-0.2,0.3,0.1,0.015,,-3.9,-0.5,-4.4,-0.2
C,24,NYK,21,170,10.9,0.521,0,0.633,14.5,17.8,16.2,8.1,1.2,1.9,23.8,12.8,,0,0.1,0.2,0.048,,-2.9,0.1,-2.8,0
C,26,TOT,81,2148,18.1,0.558,0.01,0.482,8.8,22.4,15.6,19.8,1.6,3.4,15.1,18.1,,3.6,2.4,6,0.135,,0,2.6,2.7,2.5
C,26,POR,54,1516,18.9,0.552,0.011,0.507,8.7,22.9,15.8,21.4,1.6,3.3,14,18.3,,2.8,1.8,4.6,0.147,,0.3,2.8,3.1,2
C,26,DEN,27,632,16.3,0.571,0.006,0.42,8.8,21.3,15.1,15.9,1.5,3.6,17.7,17.5,,0.8,0.6,1.4,0.107,,-0.7,2.2,1.5,0.6
C,28,TOT,45,484,8.4,0.518,0,0.424,9,13.3,11.1,6.1,1.9,2.4,21.6,13.1,,-0.1,0.5,0.5,0.045,,-4.4,0.7,-3.6,-0.2
C,28,MIL,32,310,8,0.492,0,0.515,8.7,11.1,10,8.2,1.8,2.6,20.9,15.5,,-0.2,0.3,0.1,0.021,,-4.6,0.4,-4.2,-0.2
C,28,CHO,13,174,9,0.602,0,0.167,9.4,17.2,13.3,2.5,2,2,23.7,8.7,,0.1,0.2,0.3,0.087,,-3.9,1.3,-2.5,0
