Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
PF,29,BRK,71,1754,15.7,0.554,0.132,0.186,8.7,25.5,17.2,12.9,2,1.2,16.6,18.7,,1,2.2,3.1,0.086,,-1.6,1.7,0.1,0.9
SG,26,BOS,55,1835,14.4,0.548,0.357,0.12,4,16.2,10.1,11,1.8,0.5,9.7,21.9,,1.1,2,3.1,0.081,,-0.2,-0.4,-0.5,0.7
SF,30,TOT,82,1281,9.1,0.491,0.339,0.195,2.7,11.6,7.1,10.7,2.3,1.3,12.7,14.3,,0,1.2,1.2,0.045,,-2.9,0.2,-2.7,-0.2
SF,30,HOU,58,923,7.5,0.491,0.414,0.194,2.5,11,6.7,9,1.9,1.1,12.7,12.9,,0,0.8,0.9,0.045,,-3.1,0,-3.1,-0.3
SF,30,LAL,24,358,13.3,0.49,0.198,0.198,3.2,13,7.9,15,3.3,1.8,12.6,18,,0,0.3,0.3,0.047,,-2.4,0.7,-1.7,0
SG,24,MIL,75,1982,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,,2.6,1.5,4.1,0.1,,0.6,-1.1,-0.5,0.8
PG,32,IND,65,894,9.5,0.507,0.427,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,,-0.2,0.5,0.3,0.016,,-2.1,-2.5,-4.6,-0.6
SF,24,TOT,11,159,7.2,0.43,0.54,0,5.3,16.9,11,7.6,1.5,0.5,10.7,15.6,,-0.2,0.2,0,0.001,,-3.8,-0.2,-4,-0.1
SF,24,NOP,9,143,5.9,0.415,0.585,0,4.4,14.8,9.6,5.9,1.7,0.6,10.9,14.2,,-0.2,0.2,0,-0.007,,-4.3,0,-4.3,-0.1
SF,24,ORL,2,16,18.5,0.5,0.333,0,13.2,35,23.8,23,0,0,10,27.5,,0,0,0,0.076,,0.9,-1.8,-0.8,0
PG,32,HOU,25,123,10.8,0.509,0.583,0.033,0,5.3,2.7,17.6,0.4,0,7.6,22.7,,0.1,0,0.1,0.04,,-1.5,-6.1,-7.6,-0.2
SF,20,BOS,78,1341,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,,0.2,1.3,1.5,0.053,,-3.1,-0.9,-4,-0.7
SG,23,DAL,54,521,10.7,0.498,0.674,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16,,0,0.6,0.6,0.055,,-1.7,0.7,-1,0.1
SF,25,DET,31,467,11.7,0.538,0.57,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,,0.4,0.5,1,0.101,,-0.4,0.5,0.1,0.2
PG,24,WAS,57,703,10.8,0.532,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,,0.3,0.3,0.5,0.036,,-2.3,-3.4,-5.7,-0.7
SG,25,UTA,42,653,11.6,0.501,0.306,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11,22.7,,-0.1,0.9,0.8,0.056,,-3.3,-0.9,-4.2,-0.4
SF,27,CHI,76,2809,25.1,0.586,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,,10.1,3.8,13.8,0.236,,5.8,1.1,6.9,6.3
SF,21,TOR,9,40,14.6,0.438,0.375,0,14.2,14.1,14.1,15.1,2.5,2.2,11.1,20.1,,0,0.1,0.1,0.083,,0.1,0.7,0.8,0
PG,35,TOT,41,539,8.9,0.506,0.478,0.09,3,12.2,7.5,23.3,1,0.2,22.7,14.4,,0,0.3,0.3,0.023,,-2.9,-1.8,-4.7,-0.4
PG,35,LAL,24,292,9.1,0.508,0.442,0.052,2.9,13.2,7.9,24.7,1.2,0.3,24.8,15.3,,-0.1,0.1,0,0,,-3,-2.1,-5.1,-0.2
PG,35,ATL,17,247,8.7,0.504,0.526,0.14,3.2,11,7.1,21.6,0.8,0,19.9,13.3,,0.1,0.2,0.3,0.051,,-2.8,-1.4,-4.2,-0.1
SG,23,DET,76,2529,12.8,0.519,0.471,0.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,,2,2.5,4.5,0.086,,0.9,0,0.9,1.8
SG,25,CHI,39,592,8.1,0.483,0.543,0.191,1.1,8.1,4.6,9,1.9,0.1,10.1,15.4,,0,0.6,0.5,0.042,,-2.3,-1.1,-3.4,-0.2
C,22,HOU,65,1551,21.4,0.638,0,0.314,12.5,24.5,18.5,6.7,1.1,4.1,12,19.9,,3.8,2.1,5.9,0.184,,0,0.9,0.9,1.1
SF,30,TOR,72,1882,11.9,0.53,0.582,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.2,15.6,,1.7,2.1,3.8,0.097,,0.7,0.4,1,1.4
SF,40,MEM,73,1799,11.7,0.542,0.604,0.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,,1.9,2.1,4,0.106,,0.1,0.9,1,1.4
