,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
44967,41700312,2018-05-16,GSW @ HOU,1610612745,t,W,1.0,1.0,0.5,240,45.0,88.0,0.511,16.0,42.0,0.381,21.0,27.0,1.0,10.0,37.0,47,23.0,8.0,1.0,13.0,24.0,127,1610612744,2017,Playoffs,2017-18
44968,41700223,2018-05-04,UTA vs. HOU,1610612745,f,W,2.0,1.0,0.667,240,42.0,86.0,0.488,11.0,36.0,0.306,18.0,20.0,1.0,3.0,38.0,41,26.0,8.0,7.0,8.0,19.0,113,1610612762,2017,Playoffs,2017-18
44969,41700221,2018-04-29,UTA @ HOU,1610612745,t,W,1.0,0.0,1.0,240,37.0,82.0,0.451,17.0,32.0,0.531,19.0,24.0,1.0,8.0,35.0,43,18.0,10.0,5.0,14.0,21.0,110,1610612762,2017,Playoffs,2017-18
44970,41700143,2018-04-21,MIN vs. HOU,1610612745,f,L,2.0,1.0,0.667,240,37.0,81.0,0.457,15.0,41.0,0.366,16.0,25.0,1.0,7.0,32.0,39,18.0,4.0,3.0,10.0,18.0,105,1610612750,2017,Playoffs,2017-18
44971,21701221,2018-04-11,TOR @ MIA,1610612748,t,W,44.0,38.0,0.537,265,46.0,106.0,0.434,11.0,26.0,0.423,13.0,20.0,1.0,19.0,37.0,56,26.0,8.0,7.0,9.0,18.0,116,1610612761,2017,Regular Season,2017-18
44972,21701172,2018-04-04,ATL vs. MIA,1610612748,f,W,43.0,36.0,0.544,240,42.0,94.0,0.447,17.0,38.0,0.447,14.0,17.0,1.0,10.0,44.0,54,23.0,9.0,10.0,11.0,17.0,115,1610612737,2017,Regular Season,2017-18
44973,21701096,2018-03-25,IND vs. MIA,1610612748,f,L,39.0,35.0,0.527,265,41.0,86.0,0.47700000000000004,14.0,35.0,0.4,11.0,14.0,1.0,7.0,32.0,39,32.0,10.0,3.0,17.0,20.0,107,1610612754,2017,Regular Season,2017-18
44974,21701084,2018-03-23,OKC vs. MIA,1610612748,f,L,39.0,34.0,0.534,240,34.0,87.0,0.391,13.0,30.0,0.433,18.0,20.0,1.0,8.0,33.0,41,22.0,4.0,1.0,10.0,25.0,99,1610612760,2017,Regular Season,2017-18
44975,21701004,2018-03-12,POR vs. MIA,1610612748,f,L,36.0,32.0,0.529,240,39.0,91.0,0.429,10.0,31.0,0.32299999999999995,11.0,16.0,1.0,10.0,36.0,46,24.0,6.0,4.0,11.0,24.0,99,1610612757,2017,Regular Season,2017-18
44976,21700973,2018-03-08,PHI @ MIA,1610612748,t,W,35.0,31.0,0.53,240,42.0,89.0,0.47200000000000003,14.0,26.0,0.5379999999999999,10.0,18.0,1.0,6.0,43.0,49,26.0,10.0,8.0,14.0,20.0,108,1610612755,2017,Regular Season,2017-18
44978,21700959,2018-03-06,WAS vs. MIA,1610612748,f,L,34.0,31.0,0.523,265,42.0,94.0,0.447,9.0,33.0,0.273,20.0,27.0,1.0,13.0,28.0,41,26.0,11.0,3.0,14.0,24.0,113,1610612764,2017,Regular Season,2017-18
44979,21700909,2018-02-27,PHI @ MIA,1610612748,t,W,32.0,29.0,0.525,240,36.0,82.0,0.439,9.0,27.0,0.33299999999999996,21.0,28.0,1.0,11.0,26.0,37,19.0,12.0,9.0,15.0,19.0,102,1610612755,2017,Regular Season,2017-18
44980,21700586,2018-01-07,UTA @ MIA,1610612748,t,W,22.0,17.0,0.564,240,40.0,83.0,0.48200000000000004,9.0,29.0,0.31,14.0,20.0,1.0,8.0,29.0,37,21.0,6.0,6.0,8.0,16.0,103,1610612762,2017,Regular Season,2017-18
44982,21700474,2017-12-22,DAL @ MIA,1610612748,t,W,17.0,15.0,0.531,240,46.0,72.0,0.639,16.0,25.0,0.64,5.0,6.0,1.0,2.0,33.0,35,25.0,3.0,3.0,11.0,15.0,113,1610612742,2017,Regular Season,2017-18
44983,21700443,2017-12-18,ATL vs. MIA,1610612748,f,L,15.0,15.0,0.5,240,36.0,79.0,0.456,7.0,25.0,0.28,25.0,30.0,1.0,8.0,34.0,42,19.0,9.0,6.0,19.0,28.0,104,1610612737,2017,Regular Season,2017-18
44984,21700335,2017-12-03,GSW @ MIA,1610612748,t,L,11.0,12.0,0.478,240,33.0,81.0,0.40700000000000003,14.0,37.0,0.37799999999999995,15.0,17.0,1.0,5.0,23.0,28,17.0,5.0,4.0,11.0,15.0,95,1610612744,2017,Regular Season,2017-18
44985,21700306,2017-11-29,NYK vs. MIA,1610612748,f,L,10.0,11.0,0.47600000000000003,240,32.0,84.0,0.381,10.0,38.0,0.263,12.0,20.0,1.0,9.0,22.0,31,21.0,13.0,4.0,15.0,20.0,86,1610612752,2017,Regular Season,2017-18
44986,21700298,2017-11-28,CLE vs. MIA,1610612748,f,L,10.0,10.0,0.5,240,37.0,84.0,0.44,10.0,31.0,0.32299999999999995,13.0,20.0,1.0,8.0,34.0,42,24.0,7.0,5.0,15.0,19.0,97,1610612739,2017,Regular Season,2017-18
44987,21700205,2017-11-15,WAS @ MIA,1610612748,t,L,6.0,8.0,0.429,240,32.0,78.0,0.41,13.0,30.0,0.433,16.0,19.0,1.0,12.0,30.0,42,15.0,3.0,3.0,17.0,20.0,93,1610612764,2017,Regular Season,2017-18
44988,21700137,2017-11-05,LAC vs. MIA,1610612748,f,W,4.0,5.0,0.444,240,37.0,84.0,0.44,14.0,36.0,0.389,16.0,19.0,1.0,10.0,27.0,37,23.0,12.0,6.0,16.0,26.0,104,1610612746,2017,Regular Season,2017-18
44989,21700127,2017-11-03,DEN vs. MIA,1610612748,f,L,3.0,5.0,0.375,240,36.0,77.0,0.46799999999999997,15.0,37.0,0.405,7.0,11.0,1.0,8.0,33.0,41,23.0,9.0,6.0,23.0,24.0,94,1610612743,2017,Regular Season,2017-18
44990,11700068,,PHI vs. MIA,1610612748,f,L,3.0,3.0,0.5,240,35.0,88.0,0.39799999999999996,4.0,30.0,0.133,21.0,27.0,1.0,9.0,41.0,50,23.0,6.0,4.0,20.0,23.0,95,1610612755,2017,Pre Season,2017-18
44992,41700125,2018-04-24,PHI vs. MIA,1610612748,f,L,1.0,4.0,0.2,240,34.0,88.0,0.386,10.0,35.0,0.28600000000000003,13.0,22.0,1.0,10.0,30.0,40,24.0,7.0,6.0,11.0,32.0,91,1610612755,2017,Playoffs,2017-18
44993,21701192,2018-04-07,NYK vs. MIL,1610612749,f,W,43.0,37.0,0.5379999999999999,240,45.0,93.0,0.484,10.0,25.0,0.4,15.0,17.0,1.0,12.0,36.0,48,30.0,6.0,10.0,10.0,13.0,115,1610612752,2017,Regular Season,2017-18
44994,21701178,2018-04-05,BKN @ MIL,1610612749,t,L,42.0,37.0,0.532,240,41.0,93.0,0.441,5.0,20.0,0.25,24.0,30.0,1.0,12.0,29.0,41,21.0,12.0,2.0,8.0,19.0,111,1610612751,2017,Regular Season,2017-18
44995,21701162,2018-04-03,BOS @ MIL,1610612749,t,W,42.0,36.0,0.5379999999999999,240,43.0,79.0,0.544,5.0,20.0,0.25,15.0,21.0,1.0,9.0,32.0,41,27.0,6.0,5.0,15.0,23.0,106,1610612738,2017,Regular Season,2017-18
44996,21701136,2018-03-30,LAL vs. MIL,1610612749,f,W,41.0,35.0,0.539,265,45.0,94.0,0.479,11.0,29.0,0.379,23.0,28.0,1.0,8.0,31.0,39,24.0,14.0,6.0,12.0,25.0,124,1610612747,2017,Regular Season,2017-18
44997,21701128,2018-03-29,GSW vs. MIL,1610612749,f,W,40.0,35.0,0.5329999999999999,240,48.0,87.0,0.552,11.0,20.0,0.55,9.0,10.0,1.0,7.0,29.0,36,30.0,16.0,3.0,15.0,17.0,116,1610612744,2017,Regular Season,2017-18
44998,21701095,2018-03-25,SAS @ MIL,1610612749,t,W,39.0,34.0,0.534,240,42.0,86.0,0.488,9.0,27.0,0.33299999999999996,13.0,18.0,1.0,9.0,28.0,37,27.0,6.0,6.0,10.0,18.0,106,1610612759,2017,Regular Season,2017-18
44999,21701070,2018-03-21,LAC @ MIL,1610612749,t,L,37.0,34.0,0.521,240,50.0,91.0,0.5489999999999999,8.0,26.0,0.308,12.0,17.0,1.0,8.0,25.0,33,33.0,10.0,5.0,14.0,20.0,120,1610612746,2017,Regular Season,2017-18
45000,21701016,2018-03-14,ORL vs. MIL,1610612749,f,L,36.0,32.0,0.529,240,49.0,98.0,0.5,10.0,24.0,0.41700000000000004,9.0,12.0,1.0,9.0,28.0,37,28.0,12.0,5.0,11.0,20.0,117,1610612753,2017,Regular Season,2017-18
45001,21701002,2018-03-12,MEM vs. MIL,1610612749,f,W,36.0,31.0,0.537,240,47.0,81.0,0.58,12.0,25.0,0.48,15.0,22.0,1.0,11.0,36.0,47,33.0,6.0,5.0,18.0,22.0,121,1610612763,2017,Regular Season,2017-18
45004,21700910,2018-02-27,WAS @ MIL,1610612749,t,L,33.0,27.0,0.55,240,35.0,77.0,0.455,10.0,26.0,0.385,24.0,28.0,1.0,8.0,32.0,40,20.0,10.0,9.0,16.0,20.0,104,1610612764,2017,Regular Season,2017-18
45005,21700827,2018-02-10,ORL vs. MIL,1610612749,f,W,31.0,24.0,0.564,240,43.0,82.0,0.524,9.0,25.0,0.36,16.0,20.0,1.0,8.0,33.0,41,28.0,7.0,4.0,12.0,16.0,111,1610612753,2017,Regular Season,2017-18
45006,21700763,2018-02-01,MIN vs. MIL,1610612749,f,L,27.0,23.0,0.54,240,32.0,85.0,0.376,6.0,29.0,0.207,19.0,25.0,1.0,15.0,28.0,43,19.0,6.0,1.0,15.0,21.0,89,1610612750,2017,Regular Season,2017-18
45007,21700731,2018-01-28,CHI vs. MIL,1610612749,f,W,26.0,22.0,0.542,240,41.0,77.0,0.532,13.0,28.0,0.46399999999999997,15.0,25.0,1.0,7.0,36.0,43,28.0,11.0,4.0,14.0,16.0,110,1610612741,2017,Regular Season,2017-18
45008,21700640,2018-01-15,WAS vs. MIL,1610612749,f,W,23.0,20.0,0.535,240,38.0,81.0,0.469,8.0,16.0,0.5,20.0,29.0,1.0,15.0,29.0,44,21.0,14.0,6.0,17.0,25.0,104,1610612764,2017,Regular Season,2017-18
45009,21700546,2018-01-01,TOR vs. MIL,1610612749,f,L,19.0,16.0,0.5429999999999999,265,44.0,93.0,0.473,13.0,27.0,0.48100000000000004,26.0,28.0,1.0,10.0,33.0,43,27.0,9.0,3.0,14.0,23.0,127,1610612761,2017,Regular Season,2017-18
45010,21700247,2017-11-20,WAS @ MIL,1610612749,t,L,8.0,8.0,0.5,240,35.0,79.0,0.44299999999999995,4.0,22.0,0.182,14.0,19.0,1.0,6.0,27.0,33,17.0,10.0,7.0,9.0,19.0,88,1610612764,2017,Regular Season,2017-18
45011,21700233,2017-11-18,DAL vs. MIL,1610612749,f,L,8.0,7.0,0.5329999999999999,240,28.0,74.0,0.37799999999999995,6.0,25.0,0.24,17.0,31.0,1.0,8.0,30.0,38,13.0,8.0,5.0,12.0,25.0,79,1610612742,2017,Regular Season,2017-18
45012,21700182,2017-11-11,LAL @ MIL,1610612749,t,W,6.0,6.0,0.5,240,35.0,85.0,0.41200000000000003,6.0,23.0,0.261,22.0,26.0,1.0,9.0,33.0,42,16.0,11.0,4.0,12.0,27.0,98,1610612747,2017,Regular Season,2017-18
45013,21700173,2017-11-10,SAS vs. MIL,1610612749,f,W,5.0,6.0,0.455,240,41.0,89.0,0.461,5.0,18.0,0.278,7.0,14.0,0.0,11.0,36.0,47,27.0,10.0,7.0,13.0,13.0,94,1610612759,2017,Regular Season,2017-18
45014,21700119,2017-11-03,DET vs. MIL,1610612749,f,L,4.0,5.0,0.444,240,39.0,83.0,0.47,10.0,25.0,0.4,8.0,9.0,1.0,7.0,29.0,36,27.0,6.0,6.0,13.0,24.0,96,1610612765,2017,Regular Season,2017-18
45015,21700105,2017-11-01,CHA vs. MIL,1610612749,f,L,4.0,4.0,0.5,240,45.0,91.0,0.495,19.0,36.0,0.528,12.0,15.0,1.0,9.0,31.0,40,29.0,3.0,3.0,14.0,25.0,121,1610612766,2017,Regular Season,2017-18
45016,21700085,,ATL vs. MIL,1610612749,f,W,4.0,2.0,0.667,240,44.0,81.0,0.5429999999999999,13.0,26.0,0.5,16.0,21.0,1.0,5.0,38.0,43,30.0,9.0,3.0,14.0,27.0,117,1610612737,2017,Regular Season,2017-18
45018,21700044,,CHA @ MIL,1610612749,t,W,3.0,1.0,0.75,240,40.0,85.0,0.47100000000000003,9.0,26.0,0.34600000000000003,14.0,16.0,1.0,5.0,37.0,42,24.0,8.0,4.0,13.0,27.0,103,1610612766,2017,Regular Season,2017-18
45019,11700009,,DAL vs. MIL,1610612749,f,L,0.0,1.0,0.0,240,42.0,85.0,0.494,10.0,29.0,0.345,10.0,12.0,1.0,10.0,29.0,39,34.0,8.0,2.0,20.0,25.0,104,1610612742,2017,Pre Season,2017-18
45020,41700117,2018-04-28,BOS vs. MIL,1610612749,f,L,3.0,4.0,0.429,240,35.0,74.0,0.473,9.0,27.0,0.33299999999999996,17.0,18.0,1.0,4.0,28.0,32,21.0,4.0,3.0,15.0,20.0,96,1610612738,2017,Playoffs,2017-18
50342,11600002,,DAL @ NOP,1610612740,t,W,1.0,0.0,1.0,240,47.0,82.0,0.573,12.0,21.0,0.5710000000000001,10.0,14.0,1.0,9.0,35.0,44,29.0,3.0,6.0,16.0,23.0,116,1610612742,2016,Pre Season,2016-17
50843,21700048,,SAC @ PHX,1610612756,t,W,1.0,3.0,0.25,240,42.0,77.0,0.545,10.0,30.0,0.33299999999999996,23.0,27.0,1.0,6.0,39.0,45,20.0,6.0,5.0,20.0,25.0,117,1610612758,2017,Regular Season,2017-18
50870,21700993,2018-03-11,CHI @ ATL,1610612737,t,L,20.0,47.0,0.299,240,42.0,82.0,0.512,19.0,40.0,0.475,19.0,22.0,1.0,5.0,37.0,42,32.0,2.0,5.0,15.0,14.0,122,1610612741,2017,Regular Season,2017-18
50973,21700066,,MEM vs. DAL,1610612742,f,L,1.0,5.0,0.16699999999999998,240,32.0,94.0,0.34,10.0,34.0,0.294,17.0,20.0,1.0,18.0,35.0,53,20.0,10.0,3.0,14.0,22.0,91,1610612763,2017,Regular Season,2017-18
50974,21700061,,MEM @ DAL,1610612742,t,W,1.0,4.0,0.2,240,36.0,74.0,0.486,11.0,26.0,0.423,20.0,29.0,1.0,4.0,31.0,35,20.0,6.0,4.0,11.0,20.0,103,1610612763,2017,Regular Season,2017-18
51281,11700026,,HOU vs. SDS,12329,f,L,0.0,1.0,0.0,240,31.0,75.0,0.413,12.0,34.0,0.353,8.0,13.0,1.0,2.0,29.0,31,16.0,9.0,1.0,28.0,21.0,82,1610612745,2017,Pre Season,2017-18
52592,21600874,2017-02-26,SAS @ LAL,1610612747,t,L,19.0,41.0,0.317,240,40.0,87.0,0.46,7.0,22.0,0.318,11.0,18.0,1.0,13.0,31.0,44,16.0,8.0,2.0,18.0,18.0,98,1610612759,2016,Regular Season,2016-17
52593,21600833,2017-02-14,SAC @ LAL,1610612747,t,L,19.0,38.0,0.33299999999999996,240,38.0,83.0,0.45799999999999996,12.0,29.0,0.414,8.0,15.0,1.0,13.0,30.0,43,22.0,10.0,3.0,17.0,21.0,96,1610612758,2016,Regular Season,2016-17
52594,21600802,2017-02-10,MIL vs. LAL,1610612747,f,W,19.0,37.0,0.33899999999999997,240,39.0,75.0,0.52,15.0,31.0,0.484,29.0,35.0,1.0,6.0,27.0,33,25.0,9.0,3.0,17.0,24.0,122,1610612749,2016,Regular Season,2016-17
52595,21600768,2017-02-06,NYK vs. LAL,1610612747,f,W,18.0,36.0,0.33299999999999996,240,44.0,102.0,0.431,8.0,28.0,0.28600000000000003,25.0,31.0,1.0,20.0,35.0,55,19.0,9.0,5.0,7.0,28.0,121,1610612752,2016,Regular Season,2016-17
52596,21600751,2017-02-03,BOS vs. LAL,1610612747,f,L,17.0,36.0,0.321,240,37.0,94.0,0.39399999999999996,14.0,38.0,0.368,19.0,26.0,1.0,15.0,37.0,52,24.0,9.0,3.0,12.0,23.0,107,1610612738,2016,Regular Season,2016-17
52597,21600689,2017-01-25,POR vs. LAL,1610612747,f,L,16.0,33.0,0.327,240,37.0,94.0,0.39399999999999996,11.0,30.0,0.36700000000000005,13.0,14.0,1.0,14.0,37.0,51,16.0,5.0,9.0,13.0,17.0,98,1610612757,2016,Regular Season,2016-17
52598,21600959,2017-03-08,BOS @ GSW,1610612744,t,L,52.0,12.0,0.813,240,37.0,84.0,0.44,6.0,30.0,0.2,6.0,9.0,1.0,12.0,34.0,46,23.0,8.0,12.0,17.0,20.0,86,1610612738,2016,Regular Season,2016-17
52599,21600937,2017-03-06,ATL vs. GSW,1610612744,f,W,52.0,11.0,0.825,240,41.0,87.0,0.47100000000000003,20.0,44.0,0.455,17.0,22.0,1.0,13.0,30.0,43,33.0,10.0,4.0,14.0,22.0,119,1610612737,2016,Regular Season,2016-17
52600,21600883,2017-02-27,PHI vs. GSW,1610612744,f,W,50.0,9.0,0.847,240,40.0,89.0,0.449,6.0,29.0,0.207,33.0,39.0,1.0,16.0,29.0,45,31.0,14.0,4.0,13.0,18.0,119,1610612755,2016,Regular Season,2016-17
52601,21600827,2017-02-13,DEN vs. GSW,1610612744,f,L,46.0,9.0,0.836,240,45.0,92.0,0.489,8.0,32.0,0.25,12.0,13.0,1.0,4.0,23.0,27,25.0,12.0,6.0,9.0,13.0,110,1610612743,2016,Regular Season,2016-17
52602,21600764,2017-02-04,SAC vs. GSW,1610612744,f,L,43.0,8.0,0.843,265,36.0,87.0,0.414,15.0,44.0,0.341,19.0,24.0,1.0,7.0,33.0,40,22.0,10.0,10.0,17.0,17.0,106,1610612758,2016,Regular Season,2016-17
52603,21600718,2017-01-29,POR vs. GSW,1610612744,f,W,41.0,7.0,0.8540000000000001,240,36.0,79.0,0.456,8.0,26.0,0.308,33.0,39.0,1.0,8.0,31.0,39,28.0,13.0,6.0,18.0,18.0,113,1610612757,2016,Regular Season,2016-17
52604,21600687,2017-01-25,CHA vs. GSW,1610612744,f,W,39.0,7.0,0.848,240,39.0,82.0,0.47600000000000003,11.0,28.0,0.39299999999999996,24.0,27.0,1.0,5.0,36.0,41,23.0,7.0,14.0,12.0,19.0,113,1610612766,2016,Regular Season,2016-17
52605,21601024,2017-03-17,NOP vs. HOU,1610612745,f,L,47.0,22.0,0.6809999999999999,240,37.0,91.0,0.40700000000000003,13.0,40.0,0.325,25.0,32.0,1.0,10.0,36.0,46,18.0,6.0,3.0,12.0,19.0,112,1610612740,2016,Regular Season,2016-17
52606,21600966,2017-03-10,CHI vs. HOU,1610612745,f,W,45.0,21.0,0.682,240,37.0,89.0,0.41600000000000004,15.0,47.0,0.319,26.0,32.0,1.0,11.0,43.0,54,26.0,11.0,4.0,17.0,15.0,115,1610612741,2016,Regular Season,2016-17
52607,21600942,2017-03-06,SAS vs. HOU,1610612745,f,L,44.0,20.0,0.688,240,41.0,88.0,0.466,14.0,39.0,0.359,14.0,17.0,1.0,7.0,36.0,43,19.0,3.0,3.0,12.0,20.0,110,1610612759,2016,Regular Season,2016-17
52608,21600810,2017-02-11,PHI vs. MIA,1610612748,f,L,24.0,31.0,0.436,240,39.0,85.0,0.45899999999999996,7.0,24.0,0.292,24.0,28.0,1.0,11.0,38.0,49,15.0,4.0,4.0,19.0,27.0,109,1610612755,2016,Regular Season,2016-17
52609,21600799,2017-02-10,BKN vs. MIA,1610612748,f,W,24.0,30.0,0.444,240,41.0,92.0,0.446,7.0,23.0,0.304,19.0,21.0,1.0,13.0,33.0,46,16.0,11.0,7.0,14.0,21.0,108,1610612751,2016,Regular Season,2016-17
52610,21701149,2018-04-01,DAL @ CLE,1610612739,t,W,47.0,30.0,0.61,240,35.0,85.0,0.41200000000000003,11.0,26.0,0.423,17.0,23.0,1.0,10.0,40.0,50,21.0,7.0,1.0,11.0,12.0,98,1610612742,2017,Regular Season,2017-18
52611,21701116,2018-03-28,CHA vs. CLE,1610612739,f,W,45.0,30.0,0.6,240,45.0,93.0,0.484,11.0,28.0,0.39299999999999996,17.0,20.0,1.0,11.0,27.0,38,22.0,9.0,1.0,6.0,19.0,118,1610612766,2017,Regular Season,2017-18
52612,21700779,2018-02-03,HOU @ CLE,1610612739,t,L,30.0,21.0,0.588,240,34.0,87.0,0.391,8.0,30.0,0.267,12.0,16.0,1.0,5.0,42.0,47,22.0,4.0,3.0,11.0,16.0,88,1610612745,2017,Regular Season,2017-18
52613,21700674,2018-01-20,OKC @ CLE,1610612739,t,L,27.0,18.0,0.6,240,46.0,89.0,0.517,10.0,37.0,0.27,22.0,27.0,1.0,3.0,25.0,28,32.0,7.0,4.0,15.0,18.0,124,1610612760,2017,Regular Season,2017-18
52614,21700853,2018-02-14,DET vs. ATL,1610612737,f,L,18.0,41.0,0.305,240,38.0,89.0,0.42700000000000005,6.0,33.0,0.182,16.0,19.0,1.0,8.0,35.0,43,25.0,9.0,4.0,11.0,21.0,98,1610612765,2017,Regular Season,2017-18
52615,21700786,2018-02-04,NYK vs. ATL,1610612737,f,W,16.0,37.0,0.302,240,35.0,87.0,0.402,15.0,33.0,0.455,14.0,19.0,1.0,13.0,31.0,44,25.0,6.0,3.0,16.0,12.0,99,1610612752,2017,Regular Season,2017-18
52616,21700669,2018-01-19,DET vs. WAS,1610612764,f,W,26.0,20.0,0.565,240,41.0,82.0,0.5,16.0,35.0,0.457,24.0,27.0,1.0,8.0,26.0,34,28.0,10.0,4.0,13.0,20.0,122,1610612765,2017,Regular Season,2017-18
52617,21700640,2018-01-15,MIL @ WAS,1610612764,t,L,25.0,19.0,0.568,240,32.0,76.0,0.42100000000000004,6.0,21.0,0.28600000000000003,25.0,31.0,1.0,11.0,28.0,39,19.0,10.0,8.0,23.0,22.0,95,1610612749,2017,Regular Season,2017-18
52618,21700630,2018-01-13,BKN @ WAS,1610612764,t,W,25.0,18.0,0.581,265,46.0,93.0,0.495,10.0,23.0,0.435,17.0,23.0,1.0,6.0,41.0,47,31.0,10.0,3.0,15.0,19.0,119,1610612751,2017,Regular Season,2017-18
52619,21700761,2018-02-01,MEM @ DET,1610612765,t,W,24.0,26.0,0.48,240,35.0,76.0,0.461,7.0,25.0,0.28,27.0,37.0,1.0,4.0,37.0,41,20.0,8.0,4.0,7.0,19.0,104,1610612763,2017,Regular Season,2017-18
52620,21700702,2018-01-24,UTA @ DET,1610612765,t,L,22.0,24.0,0.478,265,38.0,97.0,0.392,7.0,31.0,0.226,12.0,18.0,1.0,15.0,42.0,57,23.0,10.0,7.0,19.0,16.0,95,1610612762,2017,Regular Season,2017-18
52621,21700669,2018-01-19,WAS @ DET,1610612765,t,L,22.0,22.0,0.5,240,40.0,80.0,0.5,10.0,30.0,0.33299999999999996,22.0,26.0,1.0,7.0,28.0,35,25.0,8.0,3.0,14.0,22.0,112,1610612764,2017,Regular Season,2017-18
52622,21700638,2018-01-15,CHA @ DET,1610612765,t,L,22.0,20.0,0.524,240,42.0,86.0,0.488,15.0,29.0,0.517,8.0,11.0,1.0,3.0,35.0,38,27.0,10.0,5.0,16.0,24.0,107,1610612766,2017,Regular Season,2017-18
52623,21700595,2018-01-08,NOP vs. DET,1610612765,f,L,21.0,18.0,0.5379999999999999,240,41.0,93.0,0.441,8.0,27.0,0.29600000000000004,19.0,22.0,1.0,12.0,27.0,39,22.0,5.0,4.0,12.0,18.0,109,1610612740,2017,Regular Season,2017-18
52624,21700553,2018-01-02,LAC vs. MEM,1610612763,f,L,12.0,26.0,0.316,240,38.0,79.0,0.48100000000000004,8.0,26.0,0.308,21.0,33.0,1.0,10.0,28.0,38,18.0,10.0,2.0,14.0,29.0,105,1610612746,2017,Regular Season,2017-18
52625,21700504,2017-12-26,PHX vs. MEM,1610612763,f,L,10.0,24.0,0.294,240,35.0,87.0,0.402,3.0,20.0,0.15,24.0,29.0,1.0,10.0,28.0,38,12.0,10.0,11.0,10.0,28.0,97,1610612756,2017,Regular Season,2017-18
52626,21700345,2017-12-04,MIN @ MEM,1610612763,t,W,8.0,15.0,0.348,240,34.0,72.0,0.47200000000000003,6.0,21.0,0.28600000000000003,21.0,24.0,1.0,6.0,35.0,41,22.0,6.0,8.0,16.0,22.0,95,1610612750,2017,Regular Season,2017-18
52627,21700241,2017-11-20,MIN @ CHA,1610612766,t,W,7.0,9.0,0.43799999999999994,240,42.0,85.0,0.494,11.0,26.0,0.423,23.0,29.0,1.0,11.0,41.0,52,22.0,5.0,7.0,17.0,18.0,118,1610612750,2017,Regular Season,2017-18
52628,21700060,,IND @ OKC,1610612760,t,W,2.0,2.0,0.5,240,43.0,89.0,0.483,10.0,27.0,0.37,18.0,26.0,1.0,16.0,33.0,49,26.0,8.0,8.0,21.0,27.0,114,1610612754,2017,Regular Season,2017-18
52629,11700003,,LAC @ TOR,1610612761,t,W,1.0,0.0,1.0,240,39.0,78.0,0.5,11.0,43.0,0.256,32.0,40.0,1.0,9.0,35.0,44,22.0,14.0,3.0,21.0,34.0,121,1610612746,2017,Pre Season,2017-18
52630,41700103,2018-04-20,WAS vs. TOR,1610612761,f,L,2.0,1.0,0.667,240,37.0,82.0,0.451,12.0,28.0,0.429,17.0,19.0,1.0,8.0,26.0,34,20.0,8.0,4.0,18.0,19.0,103,1610612764,2017,Playoffs,2017-18
52631,41700101,2018-04-14,WAS @ TOR,1610612761,t,W,1.0,0.0,1.0,240,41.0,77.0,0.532,16.0,30.0,0.5329999999999999,16.0,20.0,1.0,5.0,33.0,38,26.0,6.0,7.0,17.0,18.0,114,1610612764,2017,Playoffs,2017-18
52632,21701182,2018-04-06,CHA @ ORL,1610612753,t,L,24.0,55.0,0.304,240,42.0,94.0,0.447,9.0,23.0,0.391,7.0,13.0,1.0,12.0,24.0,36,27.0,2.0,3.0,8.0,19.0,100,1610612766,2017,Regular Season,2017-18
52633,11700052,,DAL vs. ORL,1610612753,f,L,2.0,2.0,0.5,240,36.0,87.0,0.414,17.0,42.0,0.405,7.0,12.0,1.0,5.0,39.0,44,26.0,4.0,5.0,18.0,21.0,96,1610612742,2017,Pre Season,2017-18
52634,11700006,,MEM vs. ORL,1610612753,f,L,0.0,1.0,0.0,240,32.0,88.0,0.364,5.0,32.0,0.156,15.0,24.0,1.0,11.0,38.0,49,26.0,9.0,11.0,15.0,24.0,84,1610612763,2017,Pre Season,2017-18
52635,21701197,2018-04-08,CHA vs. IND,1610612754,f,W,48.0,33.0,0.593,240,50.0,93.0,0.5379999999999999,9.0,25.0,0.36,14.0,18.0,1.0,7.0,32.0,39,27.0,11.0,1.0,14.0,22.0,123,1610612766,2017,Regular Season,2017-18
52636,21701187,2018-04-06,TOR vs. IND,1610612754,f,L,47.0,33.0,0.588,240,26.0,87.0,0.299,7.0,21.0,0.33299999999999996,14.0,20.0,1.0,12.0,32.0,44,16.0,8.0,8.0,12.0,21.0,73,1610612761,2017,Regular Season,2017-18
52637,21701008,2018-03-13,TOR @ BKN,1610612751,t,L,21.0,47.0,0.309,240,35.0,86.0,0.40700000000000003,15.0,36.0,0.41700000000000004,17.0,19.0,1.0,9.0,29.0,38,21.0,9.0,6.0,11.0,19.0,102,1610612761,2017,Regular Season,2017-18
52638,21700992,2018-03-11,TOR @ NYK,1610612752,t,L,24.0,43.0,0.358,240,40.0,88.0,0.455,7.0,21.0,0.33299999999999996,19.0,24.0,1.0,8.0,29.0,37,21.0,7.0,4.0,10.0,19.0,106,1610612761,2017,Regular Season,2017-18
52639,21700857,2018-02-14,WAS @ NYK,1610612752,t,L,23.0,36.0,0.39,240,45.0,97.0,0.46399999999999997,9.0,19.0,0.474,14.0,18.0,1.0,11.0,31.0,42,21.0,7.0,1.0,10.0,17.0,113,1610612764,2017,Regular Season,2017-18
