,Unnamed: 0,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
216,11933,21600147,2016-11-14,OKC @ DET,DET,t,W,6.0,5.0,0.545,240,43.0,92.0,0.467,5.0,16.0,0.313,13.0,16.0,1.0,4.0,43.0,47,25.0,4.0,9.0,9.0,14.0,104,OKC,2016,Regular Season,2016-17
217,11934,21601227,2017-04-12,SAS @ UTA,UTA,t,W,51.0,31.0,0.622,240,39.0,77.0,0.506,10.0,26.0,0.385,13.0,20.0,1.0,7.0,29.0,36,24.0,10.0,5.0,16.0,16.0,101,SAS,2016,Regular Season,2016-17
218,11946,21600903,2017-03-01,MIN @ UTA,UTA,t,L,37.0,24.0,0.607,240,35.0,90.0,0.389,4.0,19.0,0.211,6.0,11.0,1.0,16.0,30.0,46,18.0,6.0,5.0,14.0,23.0,80,MIN,2016,Regular Season,2016-17
219,11947,21600843,2017-02-15,POR @ UTA,UTA,t,W,35.0,22.0,0.614,240,42.0,81.0,0.519,11.0,22.0,0.5,16.0,23.0,1.0,9.0,37.0,46,19.0,9.0,5.0,14.0,17.0,111,POR,2016,Regular Season,2016-17
220,11955,21600738,2017-02-01,MIL @ UTA,UTA,t,W,31.0,19.0,0.62,240,36.0,78.0,0.462,11.0,29.0,0.379,21.0,27.0,1.0,11.0,35.0,46,22.0,11.0,2.0,15.0,23.0,104,MIL,2016,Regular Season,2016-17
221,11956,21600708,2017-01-28,MEM @ UTA,UTA,t,L,30.0,19.0,0.612,240,29.0,62.0,0.468,10.0,25.0,0.4,27.0,29.0,1.0,4.0,27.0,31,19.0,3.0,4.0,13.0,18.0,95,MEM,2016,Regular Season,2016-17
223,11958,21600659,2017-01-21,IND @ UTA,UTA,t,W,29.0,16.0,0.644,240,39.0,84.0,0.464,6.0,24.0,0.25,25.0,32.0,1.0,10.0,32.0,42,24.0,11.0,3.0,14.0,15.0,109,IND,2016,Regular Season,2016-17
225,11960,21600604,2017-01-14,ORL @ UTA,UTA,t,W,26.0,16.0,0.619,240,41.0,83.0,0.494,7.0,26.0,0.269,25.0,36.0,1.0,9.0,35.0,44,28.0,6.0,2.0,13.0,20.0,114,ORL,2016,Regular Season,2016-17
229,11967,21600024,,LAL @ UTA,UTA,t,W,1.0,1.0,0.5,240,31.0,75.0,0.413,6.0,25.0,0.24,28.0,40.0,1.0,13.0,34.0,47,14.0,4.0,7.0,14.0,18.0,96,LAL,2016,Regular Season,2016-17
232,11970,21601167,2017-04-05,OKC @ MEM,MEM,t,L,42.0,37.0,0.532,240,37.0,78.0,0.474,9.0,26.0,0.34600000000000003,17.0,21.0,1.0,7.0,31.0,38,21.0,7.0,5.0,13.0,18.0,100,OKC,2016,Regular Season,2016-17
